/////////////////////////////////////////////////////////
// Map name       [UJE]Vulcano Escape                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    18-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1702 -74 -295 "^1Allied Command Post"
-114 -2808 125 "^1Axis Command Post"
-161 -1354 120 "^1The Bridge"
3274 1260 -61 "^1The Wall"
5460 335 -31 "^1Truck Barrier"
-1076 1088 288 "^2Allied Vulcano Spawn"
-1124 1848 8 "^2Axis Vulcano Spawn"
-1544 -2596 -39 "^2Barrels Spawn"
-1702 -2902 -55 @
-1480 589 96 "^2Bunker Spawn"
-1849 605 96 @
2815 1326 -59 "^2Flag Spawn"
-1245 -1667 96 "^2Gate Spawn"
-620 -2303 96 @
-5000 -1443 440 "^2House Spawn"
-4999 -1105 440 @
5378 1793 64 "^2Last Spawn"
-4927 -558 352 "^3Axis MG42"
-5000 -1443 351 "^3Axis Start"
-5196 -1440 446 @
-4999 -1105 332 @
-5212 -1108 443 @
-4341 -1601 332 @
-4208 -388 345 @
-4716 -564 346 @
-4884 -748 374 @
-5090 -554 405 @
-5024 -1870 515 @
-5289 -2011 606 @
-4365 -1205 473 @
-1544 -2596 64 "^3Barrels Room"
-1778 -2902 256 @
-1440 -2219 69 @
-2348 -2350 271 @
159 -1246 248 "^3Bridge Cave"
-484 -1392 208 @
-416 -2289 81 @
155 -2253 136 @
153 -2661 157 @
-382 -2667 109 @
-15 -1897 117 @
-379 -519 97 @
-204 442 114 @
-50 166 194 @
-70 715 215 @
-1591 -560 93 @
-1475 333 103 @
-2978 -1657 304 "^3Bunker Entrance"
-1754 -569 96 "^3Bunker Hallway"
-1810 314 96 @
-2209 -82 96 @
-2943 -859 65 "^3Bunker Shaft Entrance"
4484 354 344 "^3Courtyard Overlook"
4078 357 344 @
4631 364 344 @
4633 515 344 "^3Courtyard Stairs"
2002 2473 148 "^3Flag Area Caves"
2433 2839 -24 @
2149 928 -158 @
2874 2036 -63 @
2087 1843 0 @
2842 652 -63 @
3949 703 166 @
868 1819 8 "^3Floating Lava Hall"
864 927 -167 @
928 -147 -295 @
942 2465 152 @
1779 2465 152 @
1973 1825 0 @
1950 936 -167 @
1730 214 -263 @
1421 -153 -295 @
1702 -74 -532 @
-1298 -1666 96 "^3Garage"
-2046 -1657 64 @
-1434 -2065 60 @
-1985 -1016 64 @
-1768 -1669 272 @
-2121 -1028 64 "^3Garage Corridor"
-2687 -904 64 @
-2224 -1663 97 "^3Garage Ramp"
-2465 -1660 152 @
-2776 -1672 251 @
-3960 -394 355 "^3Gate"
-3960 107 778 "^3Gate Jump"
-3960 -394 568 "^3Gate Wall"
-3117 -2045 304 "^3Guard Post"
-2967 -1906 304 @
-2463 -2194 304 "^3Ladder Room"
-2778 -2112 512 @
-2619 -2016 286 @
5827 1795 96 "^3Last Spawn Hallways"
5851 311 262 @
5839 615 256 @
5371 1995 64 @
5447 2815 64 @
5371 2487 64 @
-4079 -1592 342 "^3Outside Bunker"
-3742 -416 369 @
-4084 -2051 459 @
-4039 -1213 544 @
-2943 -859 576 @
-2978 -1657 512 @
-3245 -1660 304 @
-3218 -2048 328 @
-2859 -2109 512 @
-1908 1780 64 "^3Sewer"
-2398 1744 96 @
-2462 1669 96 @
-2467 1306 96 @
-1962 603 96 "^3Sewer Hallway"
-2263 318 96 @
-1899 1649 96 @
-2399 1675 96 @
-2398 1306 96 @
-1899 1247 96 @
-29 448 136 "^3Supply Tunnel"
522 117 136 @
408 -2249 136 @
-2046 -1657 300 "^3Switch Room"
-2224 -1663 300 @
-2465 -1660 334 @
5851 311 -31 "^3Truck Barrier Supplies"
4091 705 200 "^3Truck Courtyard"
3949 703 344 @
4484 496 200 @
4083 502 336 @
4620 941 200 @
5874 -656 -31 "^3Truck Escape"
5062 2001 64 "^3Truck Road"
5033 1788 64 @
5069 2801 64 @
4830 2886 69 @
4219 1923 200 @
4502 2367 200 @
4494 2757 200 @
4567 2883 200 @
5060 2262 64 @
5062 2001 200 "^3Truck Road Area"
5033 1788 200 @
5318 2814 64 @
5069 2801 200 @
4832 2789 69 @
4858 1998 69 @
4852 1772 69 @
4598 2369 87 @
4580 2765 200 @
4922 2253 89 @
4261 1417 200 "^3Truck Tunnel"
-68 1895 8 "^3Vulcano Caves"
-157 2360 8 @
664 1817 8 @
647 918 -193 @
784 -149 -295 @
782 2474 152 @
-1908 1780 315 "^3Vulcano Hall"
-1709 1654 8 @
-1629 1245 8 @
-1766 1769 8 @
-1907 1910 66 @
-1899 1247 296 @
-1647 997 288 @
-437 1114 288 @
-1035 1151 8 @
-1324 1488 -19 @
-714 1897 -29 @
-1188 2202 -20 @
-314 1909 8 @
-354 2330 8 @
-192 1946 288 @
-277 2330 288 @
-4231 -1591 682 "^3Wall"
-4236 -2046 711 @
-4217 -1209 687 @
-5006 -2010 636 "^3Wall Ramp"
-4461 -2003 722 @
5460 335 185 "^3Warehouse District"
5874 -656 199 @
5498 -673 -31 @
5875 -344 -31 @
5473 25 -31 @
5860 168 260 @
5469 626 -31 @
5815 615 -31 @
4989 487 150 @
5093 1106 -31 @
