/////////////////////////////////////////////////////////
// Map name       V1 Rocket B2                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    19-02-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-878 -4214 304 "Allied Garage"
3061 -2008 496 "Allied MG Nest"
158 -4058 304 "Allied Road"
-870 -4028 304 @
-486 -3893 304 @
1727 -3446 448 @
788 -4254 329 @
2827 -2353 496 @
3206 -2367 496 @
3502 -1972 496 @
4072 -1337 544 @
3669 -631 544 @
3551 -2674 516 @
2399 -3290 496 @
4022 -2262 551 @
156 -4149 416 "Allied Spawn"
161 -4467 416 @
-498 -4156 416 @
264 -4469 432 "Allied Spawn Exit"
-495 -4038 432 "Allied Spawn Stairs"
3427 -522 544 "Bridge"
2328 -512 544 @
2798 -517 544 @
-1560 1876 300 "Command Post"
-863 2429 408 "Command Post Bunker"
-1559 2021 300 @
-1198 1826 360 @
1606 843 584 "Corridor to Depot Yard"
1070 1248 360 @
-3149 92 504 "Dam Bridge"
-3896 108 504 @
-3922 439 510 "Dam Catwalk"
-3126 439 504 @
-4215 256 504 "Dam Corridors"
-4038 439 504 @
-4029 1015 288 @
-2988 437 504 @
-3007 97 504 @
-3015 1013 296 @
-2600 1473 296 @
-2716 1070 296 @
-4121 -115 504 "Dam MG Nest"
-4043 106 504 @
-4215 133 504 @
-1032 589 408 "Depot Yard"
-763 -385 408 @
-706 2425 396 @
-865 2440 584 @
-1008 1916 618 @
695 1917 364 @
-289 2977 297 @
375 2248 384 @
-139 2640 330 @
541 1511 376 @
460 1064 360 @
683 1642 384 @
386 1324 362 @
-1013 -229 408 @
-2466 -368 264 "Depot Yard Alley"
-2266 -67 293 @
-1387 -275 394 @
-1161 588 408 "Depot Yard Garage"
-1169 78 408 @
-2266 70 296 @
-2406 815 296 @
-2271 1075 296 @
-2452 1467 296 @
338 2657 352 "Depot Yard Generators"
645 1409 360 "Depot Yard MG Nest"
628 1063 360 @
926 1253 360 @
2798 -517 183 "Frozen River"
1161 -2484 270 @
2392 -1634 277 @
-652 -2459 215 @
-2150 -2314 236 @
-3107 -2527 241 @
-3456 -1476 206 @
2845 4515 440 "Fuel Depot"
2788 4233 446 @
3254 4218 480 @
3757 4895 232 @
3461 4522 176 @
3015 4520 185 @
2927 4752 184 @
2800 4988 183 @
3456 5300 192 @
2984 5534 496 @
3189 4260 192 "Fuel Depot Bunker"
2776 4249 192 @
3675 4217 468 "Fuel Depot Corridors"
4125 4079 468 @
4124 5405 220 @
3454 5419 200 @
3717 5529 176 @
3452 3389 176 "Fuel Depot Entrance"
3448 4266 176 @
2840 4507 192 "Fuel Depot MG Nest"
3370 4215 492 "Fuel Depot Office"
3546 4210 492 @
882 1924 364 "Fuel Depot Tunnel"
1733 2565 364 @
2687 2945 230 @
3453 3185 176 @
4123 4207 468 "Fuel Tanks Room"
3897 4891 268 @
4126 5178 268 @
-2449 1065 296 "Health and Ammo Cabinets"
3763 -2487 520 @
-1340 4337 292 "Large Railroad Tunnel"
-1356 4116 292 @
-318 3214 288 @
452 6148 400 "Launch Site"
-514 6121 400 @
3413 7034 480 "Launch Site Area"
3267 7044 304 @
3390 6850 362 @
2602 4989 221 @
2421 5645 232 @
631 6146 291 @
-647 5142 397 @
300 5222 180 @
512 6966 354 @
-441 7058 406 @
-2196 7043 463 @
-1892 7288 474 @
-2785 6119 404 @
-2749 5789 401 @
-2008 4942 311 @
-2007 4804 488 @
-2411 5389 395 @
-2475 6842 417 @
-1481 6128 404 @
1193 7588 611 @
1515 7364 448 @
2002 7327 448 @
2640 7455 448 @
3413 7034 292 "Launch Site Corridor"
3715 5676 188 @
3716 6867 236 @
-1466 4338 292 "Launch Site Tunnel"
-2007 4759 292 @
1821 -124 548 "Main Entrance"
1997 247 800 "Main Entrance Balcony"
1817 -116 800 @
1439 -296 800 @
1349 -213 536 "Main Entrance Bunker"
1125 -114 544 @
772 -296 410 @
1904 340 800 "Main Entrance Spawn"
1352 -207 800 @
1536 154 802 @
1125 -114 813 @
1788 579 788 @
-761 -564 408 "Main Entrance Tunnel"
630 -299 408 @
1481 -78 489 @
1170 261 408 @
1967 -1233 580 "North River Bank"
2012 -752 544 @
2159 77 544 @
1618 -583 704 @
-3138 6475 752 "Radar 1 Spawn"
-3126 5767 752 @
-3696 5766 752 @
-3701 6480 752 @
1974 7668 660 "Radar 2 Spawn"
1635 7607 660 @
-3003 6482 752 "Radar Station 1"
-3004 5763 752 @
-2882 5035 752 @
-2362 4804 752 @
-2940 6117 752 @
-2569 7317 644 @
-2235 7289 660 "Radar Station 1 MG Nest"
-1468 4117 292 "Radar Station 1 Tunnel"
-3070 4352 288 @
1974 7668 491 "Radar Station 2"
1639 7484 660 @
2103 7664 660 @
1999 7450 660 @
1450 7589 660 @
1517 7489 448 @
2646 7631 448 @
2646 7631 660 @
-3149 92 131 "Reservoir"
-3896 108 147 @
-3922 439 179 @
-3878 1017 160 @
-3126 439 156 @
-3129 1014 159 @
-3482 -1095 145 @
-3126 -342 159 @
-4099 -319 240 @
-3001 -343 248 "Reservoir Exit"
-2592 -359 262 @
3367 -1273 868 "River Hills"
2090 -2711 700 @
-2803 -3344 276 "River Path"
