/////////////////////////////////////////////////////////
// Map name       V-2 Factory                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2504 -1813 -335 "Allied Command Post"
1558 3652 -343 "Allied Farm"
1559 3880 -343 @
1462 3964 -343 @
1322 3965 -343 @
1225 3890 -343 @
1232 3640 -343 @
1311 3541 -343 @
1490 3556 -343 @
1573 3400 -333 @
1588 3170 -343 @
1674 3085 -343 @
1780 3092 -343 @
2178 3094 -343 @
2269 3173 -341 @
2270 3461 -343 @
2260 3679 -343 @
2198 3788 -327 @
1961 3802 -343 @
1756 3803 -343 @
624 3686 -342 @
1103 2063 -346 @
941 1981 -341 @
991 2058 -348 @
925 1679 -342 @
1029 1576 -335 @
1275 1569 -333 @
1423 1567 -338 @
1678 1575 -319 @
1554 1566 -333 @
1780 1671 -343 @
1784 1831 -343 @
1776 1950 -343 @
1663 2058 -343 @
1396 2092 -343 @
1325 1155 -245 @
1008 1145 -216 @
943 2486 -248 @
597 2029 -163 @
2468 2695 -302 @
2279 1735 -298 @
2453 998 -48 "Allied Farm Hills"
2525 1421 -5 @
307 3700 -245 "Allied Farm North Path"
-299 3627 -204 @
-1619 4180 -318 @
-1318 3632 -242 @
2852 1154 -170 "Allied Farm River Path"
2820 1677 -188 @
2735 2522 -243 @
649 2375 -245 "Allied Farm South Path"
172 1584 -210 @
-1656 790 -308 @
-390 2523 -245 @
2926 -2153 -335 "Ammo Depot"
2703 -1875 -335 @
2514 -1724 -335 @
2318 -1870 -337 @
2328 -1678 -336 @
2531 -1962 -335 @
2459 -1856 -137 @
2941 -2329 -348 "Ammo Depot Cave"
2862 -3349 -344 @
2105 -3413 -489 @
1759 -3791 -346 @
2607 -1046 -104 "Ammo Depot MG Nest"
-2737 2548 -238 "Are You Lost n00b?"
-2455 2899 -234 @
-2911 3289 -241 @
284 242 -403 "Axis Command Post"
1089 1961 -339 "Barn"
1030 1961 -339 @
1678 1961 -339 @
1689 1808 -339 @
1684 1670 -339 @
1518 1771 -339 @
1316 1660 -339 @
1036 1671 -339 @
1453 1683 -179 @
1418 1964 -179 @
1418 2067 -193 "Barn Balcony"
1207 927 -204 "Barn MG Nest"
1503 1672 -339 "Barn Supply Cabinets"
1543 -693 -295 "Bunker"
1354 -862 -295 @
1385 -673 -159 @
1175 -512 -159 @
1549 -972 -123 @
1561 -757 -159 @
1538 -950 -295 @
934 -1049 -195 @
862 -1119 -195 "Bunker Door"
852 -1222 -195 @
1379 -655 -295 "Bunker MG42"
-117 -15 -526 "Dam Water Tunnels"
543 211 -558 @
528 435 -555 @
-112 671 -526 @
110 408 -515 @
671 214 -578 "East River"
673 418 -588 @
1695 198 -461 @
1304 272 -466 @
1670 -498 -438 @
1376 -465 -471 @
893 -260 -458 @
2209 -294 -475 @
2168 177 -466 @
2500 407 -490 @
2905 683 -485 @
2568 -234 -449 @
829 678 -200 "East River North Bank"
1084 457 -244 @
1464 522 -256 @
2305 592 -255 @
2612 887 -183 @
-1493 -2789 -335 "Factory Lower Corridors"
-1160 -2716 -335 @
-874 -2756 -335 @
-345 -2812 -335 @
-150 -2917 -327 @
88 -2819 -311 @
211 -2996 -311 @
585 -2829 -343 @
187 -2159 -311 @
-221 -2861 0 "Factory Production Meters"
9 -3006 0 @
-439 -3017 0 @
-373 -2536 0 "Factory Spawn"
-242 -2747 0 @
-129 -2811 -335 "Factory Supply Cabinets"
-909 -1952 48 "Factory Tower"
-625 -1931 48 @
-776 -2150 48 "Factory Tower Corridor"
-496 -2544 0 @
-1270 -2883 13 "Factory Ventilation Shaft"
-834 -2638 -162 @
-2580 -2777 -29 "Factory Wall"
-2571 -2587 -29 @
-2105 -2614 -29 @
-2109 -2725 48 @
-1942 -2729 48 "Factory Wall Corridor"
-1270 -3004 48 @
-580 -2941 0 @
298 -3176 -343 "Factory Yard"
40 -3151 -343 @
-485 -3151 -343 @
-486 -3353 -343 @
-600 -3460 -343 @
-955 -3466 -343 @
-1203 -3401 -336 @
-1324 -3297 -336 @
-1321 -3138 -336 @
381 -3509 -343 @
310 -3731 -343 @
13 -3757 -343 @
-146 -3927 -333 @
-504 -3946 -333 @
-911 -3946 -333 @
-1129 -3927 -333 @
-1473 -3938 -333 @
-2669 -2630 -340 @
-2570 -2894 -330 @
-2428 -2648 -343 @
-2097 -2629 -334 @
-1811 -4099 -333 @
-2183 -4194 -333 @
-2863 -4129 -156 @
-2820 -2826 -112 @
144 -3148 -7 "Factory Yard Overlook"
-1 -3152 -7 @
-448 -3156 -7 @
-2188 -4396 -335 "Factory Yard Train Tunnel"
2170 3187 -303 "Farm House"
1779 3189 -303 @
1784 3389 -303 @
1776 3587 -303 @
1967 3581 -303 @
2195 3618 -303 @
2156 3441 -303 @
1679 3187 -303 "Farm House Terrace"
1670 3390 -303 @
1675 3618 -303 @
1769 3703 -303 @
1977 3697 -303 @
2178 3694 -303 @
265 69 -403 "Inside The Dam"
-154 -1034 -203 @
266 422 -403 @
162 1446 -203 @
67 402 -393 @
-1298 -2231 -343 "Liquid O2 Production Machines"
-1170 -2382 -343 @
-1111 -2570 -343 "Liquid O2 Production Room"
-1177 -2489 -343 @
-1428 -2245 -343 @
-942 -3336 -327 "Liquid O2 Storage Tanks"
-1201 -3280 -327 @
-1202 -3130 -327 @
-609 -3133 -327 @
-610 -3345 -327 @
-2860 4205 -338 "North-West Railroad Tracks"
-2130 3991 -343 @
-1738 3447 -337 @
-2203 3396 -250 @
1968 -824 -343 "Outside Ammo Depot"
1661 -878 -240 @
2192 -1681 -341 @
2194 -1865 -342 @
2186 -2192 -331 @
1946 -2169 -338 @
2251 -1417 -291 @
2398 -1002 -152 @
2610 -1214 -98 @
1650 -697 -299 @
2521 -456 -338 @
2182 -460 -333 @
2464 -1143 -48 @
-163 -1179 -251 "Outside The Factory"
-1548 -2003 -343 @
-1551 -1658 -342 @
-947 -1859 -343 @
-488 -2044 -343 @
859 -1327 -250 @
902 -2283 -205 @
711 -2824 -343 @
629 -3159 -343 @
565 -3483 -343 @
563 -3979 -307 @
1518 -3784 -327 @
1685 -3960 -83 @
1713 -3631 -83 @
2074 -3289 -104 @
2655 -2505 -92 @
1977 -2463 -343 @
-2496 -2379 -338 @
-2468 -1970 -322 @
-2513 -1479 -302 @
-2838 -1186 -227 @
-1144 -1201 -126 @
-1450 -1254 -141 @
-1755 -1487 -335 @
1944 566 -343 "Pontoon Bridge"
1970 228 -327 @
1963 -107 -327 @
1967 -640 -327 @
1891 -322 -327 @
1931 713 -342 "Pontoon Bridge Path"
1913 1256 -343 @
-2190 -2392 -343 "Railroad Tracks"
-2189 -2012 -336 @
-2190 -1477 -336 @
-3061 4237 -351 "Route To Launch Site"
-2344 -1174 -343 "Train Bridge"
-2240 -802 -343 @
-2246 -471 -343 @
-2249 70 -343 @
-1937 94 -343 @
-2283 -201 -329 @
-2110 -143 -329 @
-2718 -1752 -244 "Train Bridge MG Nest"
-2191 647 -334 "Train Tunnel"
-1714 3296 -343 @
-2162 1716 -335 @
-2165 1931 -335 @
-2379 527 -337 @
-1970 460 -343 @
-1720 2262 -343 @
-1732 2919 -334 @
-1560 2665 -343 @
-2798 1599 -290 "Train Tunnel Cave"
-2531 550 -314 @
-2305 1722 -334 "Train Tunnel Storage"
-2313 1933 -345 @
-2784 1736 -294 @
1327 3661 -343 "Truck Garage"
1323 3851 -343 @
1439 3860 -343 @
1449 3657 -343 @
-1727 2625 -343 "Tunnel Support"
325 -3935 -333 "V-2 Assembly Controls"
107 -3902 -333 @
-1301 -4100 20 "V-2 Assembly Crane"
-2223 -4094 17 @
-1772 -4104 20 @
-58 -4097 -281 "V-2 Assembly Line"
-447 -4101 -281 @
-927 -4105 -281 @
-1161 -4108 -281 @
-1604 -4103 -281 @
-1363 -4094 -249 @
-716 -4092 -281 @
-285 -4100 -281 @
-1066 -4272 -333 "V-2 Assembly Parts Storage"
-752 -4263 -333 @
-220 -4253 -333 @
-517 -4258 -333 @
-1762 -2155 -311 "V-2 Launch Door"
-1754 -2019 -311 @
-1765 -2312 -311 "V-2 Launch Hallway"
-1733 -2808 -311 @
-1756 -3011 -311 @
-1754 -1934 -311 "V-2 Launch Tracks"
-1757 -1663 -311 @
-217 686 -532 "West River"
-226 331 -546 @
-221 -23 -546 @
-126 93 -456 @
-141 516 -465 @
-1124 357 -414 @
-1593 64 -426 @
-1949 -125 -443 @
-1898 -751 -449 @
-1585 -723 -441 @
-2509 -242 -455 @
-2450 -725 -462 @
-3020 -738 -446 @
-2428 -514 -444 @
-2733 -950 -110 "West River South Bank"
-3039 -956 -74 @
-1894 -975 -249 @
-1566 -1044 -105 @
222 -440 66 "^1h4x0r!!!"
199 874 66 @
182 129 66 @
