/////////////////////////////////////////////////////////
// Map name       V2 Base                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
371 718 256 "Allied Command Post"
-2188 -2014 92 "Allied Spawn Hut"
-2183 -2116 92 @
-1907 -2128 92 @
-1905 -1826 92 @
-1916 -1644 92 @
-2183 -1644 92 @
-2220 1670 -215 "Axis Barracks"
-2231 1412 -215 @
-2212 1177 -215 @
-2713 1181 -215 @
-2708 1685 -215 @
-1396 1737 -311 "Axis Command Post"
-1727 1772 -215 "Base Corridors"
-1727 2128 -215 @
-1075 2100 -311 @
-1063 1823 -271 @
-1239 1837 -311 @
-1566 1979 -311 @
-1502 726 -167 "Base Door"
-1509 806 -167 @
-836 -1143 64 "Base Gate"
-784 -970 64 @
-979 -987 64 @
-1504 911 -167 "Base Lobby"
-2106 1408 -215 @
-2127 1210 -215 @
-2134 1653 -215 @
-1428 1562 -215 @
-1572 1563 -215 @
-1182 1360 -215 @
-802 989 -215 @
-814 824 -215 @
-1334 826 -215 @
-1712 1650 -215 @
-1566 1730 -255 "Base Lobby Stairs"
-969 1832 -311 "Base Office"
-969 2048 -311 @
-672 2111 -279 @
-663 1846 -279 @
-860 1836 -311 @
-1602 700 -161 "Base Ramp"
-1604 450 -94 @
-1606 243 -39 @
-1609 -59 40 @
-1418 -61 41 @
-1510 585 -130 @
-1397 642 -145 @
-1398 370 -73 @
-1413 162 -18 @
-240 -243 96 "Base Wall"
-238 -55 96 @
-240 137 96 @
-394 -62 96 @
-354 79 96 @
-1060 -1050 64 "Base Yard"
-1331 -1059 64 @
-1543 -1051 75 @
-1782 -1041 69 @
-2044 -1031 64 @
-2374 -1044 85 @
-2213 -741 64 @
-1877 -742 64 @
-2282 -673 68 @
-2297 -367 74 @
-2209 -291 64 @
-1884 -291 64 @
-1811 -371 64 @
-1809 -651 64 @
-2369 -36 94 @
-2149 -29 77 @
-2030 -64 65 @
-2328 99 82 @
-2106 99 78 @
-2330 314 77 @
-2129 431 64 @
-2071 695 65 @
-2068 925 64 @
-2296 1020 71 @
-2362 1252 89 @
-474 181 96 @
-475 -78 96 @
-476 -305 96 @
-382 -628 64 @
-394 -1039 64 @
-568 -1041 64 @
-652 -909 64 @
-753 -796 64 @
-1013 -746 64 @
-1083 -663 64 @
-1224 -643 64 @
-1338 -645 64 @
-1426 -740 64 @
-1419 -962 67 @
-1685 737 64 @
-1696 525 64 @
-1678 300 64 @
-1694 12 64 @
-1692 -189 64 @
-1495 -201 64 @
-1322 -211 64 @
-1321 -67 64 @
-1317 170 68 @
-1324 383 72 @
-1300 559 64 @
-1285 741 64 @
-1605 797 64 @
-1379 807 124 @
-1693 -51 64 @
-426 645 104 @
-616 416 64 @
-594 263 64 @
-579 549 64 @
-368 1236 64 @
-370 1347 64 @
-389 1934 80 @
-1345 1328 64 @
-1339 1550 64 @
-1351 1804 64 @
-1343 2321 87 @
-965 2346 96 @
-943 2021 64 @
-1480 1361 64 @
-2197 1366 64 @
-2182 1764 64 @
-1979 1759 66 @
-1643 1752 64 @
-1892 1971 64 @
-2051 1993 64 @
-1877 1341 64 @
-1521 1512 65 @
-1461 -1054 69 @
-1206 -1058 65 @
-2286 -1637 79 "Behind Allied Hut"
-2290 -2007 72 @
-2282 -2188 84 @
-1889 -2216 80 @
461 -673 288 "Catwalk Storage"
351 -685 264 @
1855 -1272 64 "Field MG42"
-357 -2181 73 "Fields"
-294 -1679 64 @
8 -1201 64 @
347 -846 66 @
716 -962 64 @
533 -1306 65 @
261 -1316 64 @
739 -679 64 @
776 -65 80 @
736 446 64 @
686 605 64 @
690 967 66 @
696 1471 64 @
894 1456 64 @
1116 1362 64 @
1465 1360 64 @
1662 1497 64 @
1651 1925 66 @
2070 -1015 64 @
1592 -982 65 @
1565 -1359 65 @
1935 -1531 65 @
2118 -1303 70 @
1515 2094 82 @
1119 2098 82 @
671 2058 64 @
683 2349 105 @
189 -1052 64 @
527 -59 96 "Fortress Arch"
177 -243 256 "Fortress Bridge"
185 132 256 @
176 -84 256 @
341 -1008 288 "Fortress Catwalk"
116 -1006 288 @
462 -910 288 @
468 -774 288 @
361 -1150 64 "Fortress Ladder"
462 -1006 288 @
-89 -61 104 "Fortress Pool"
-285 -1069 448 "Fortress Roof"
29 -1069 448 @
212 -848 448 @
642 -698 448 @
644 -357 448 @
538 -281 448 @
532 174 448 @
649 528 448 @
281 525 448 @
278 241 448 @
179 386 448 @
92 226 448 @
-285 671 448 @
-285 993 448 @
-274 1266 448 @
-278 1750 448 @
-285 1985 448 @
6 1968 448 @
184 1671 448 @
92 1453 448 @
93 1114 448 @
93 805 448 @
-39 1013 448 @
66 1589 448 @
84 1311 448 @
-282 228 448 @
-285 -354 448 @
104 -550 448 @
376 -520 448 @
669 -515 448 @
-5 -373 120 "Fortress Stairs"
-13 -690 192 @
203 -688 192 @
178 -391 256 @
-500 2072 264 "Fortress Storage"
-819 2245 272 @
-674 2361 264 @
-378 2074 128 @
-621 2241 264 @
397 161 120 "Fortress Yard"
323 -74 96 @
424 -301 128 @
181 -204 96 @
198 62 96 @
-83 95 96 @
91 -55 96 @
-65 -235 96 @
-2326 530 76 "Fuel Tanks"
-2234 732 96 @
-2365 872 96 @
-2214 846 96 @
-2217 619 96 @
-266 2194 -311 "Generator Office"
-261 2507 -311 @
355 2539 -311 @
326 2225 -311 @
34 2227 -311 @
357 1375 -311 "Generators"
125 1378 -311 @
61 1574 -311 @
68 1747 -311 @
62 1980 -311 @
57 2141 -311 @
46 1427 -311 @
44 1846 -311 @
361 2116 -311 @
-666 -997 64 "Guard Booth"
-1108 -760 68 "Guard House"
-1110 -976 120 @
-1341 -983 68 @
-1325 -760 68 @
-1241 -764 68 @
-542 1841 -311 "Middle Corridor"
-543 2109 -311 @
-1807 -2207 79 "Outside Allied Hut"
-1803 -1834 72 @
-1797 -1605 64 @
-1882 -1557 64 @
