/////////////////////////////////////////////////////////
// Map name       Vengeance                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2300 -586 204 "Ammo Bunker #1"
2818 -1522 226 "Ammo Bunker #2"
2742 -2264 234 "Ammo Bunker #3"
2223 -821 184 "Ammo Bunker Door #1"
2599 -1514 209 "Ammo Bunker Door #2"
2501 -2257 222 "Ammo Bunker Door #3"
1342 -858 168 "Ammo Depot"
869 -876 168 @
1563 -842 168 @
1530 -322 -119 "Ammo Depot Hallway"
413 156 -119 @
2841 1582 96 "Command Post"
1923 -2385 223 "Depot Yard"
1740 -2246 226 @
2366 -2266 224 @
2164 -2614 294 @
1405 -1956 224 @
2447 -1531 223 @
2193 -970 210 @
2272 -613 370 @
1963 -647 233 @
2598 -827 199 @
2758 -1160 206 @
2811 -1539 386 @
2707 -1901 217 @
2475 -1966 213 @
2701 -2273 394 @
2577 -2561 297 @
1963 -2493 376 @
1831 -2604 376 @
1647 -2276 394 @
1353 -2058 376 @
1347 -1004 170 @
1621 -1047 179 @
870 -999 142 @
844 -1127 146 @
1165 -1286 210 @
596 -3165 208 "East Lower Base"
619 -2980 208 @
623 -2758 208 @
148 -2622 208 @
201 -2382 208 @
130 -2364 386 @
138 -3082 368 @
96 -223 244 "Guard Booth"
567 546 -119 "Junction Room"
412 288 -119 @
301 493 -119 @
46 -2623 214 "Lower Base"
32 -3044 298 @
212 -2285 201 @
23 -2398 216 @
155 -1845 156 @
-190 -1533 263 @
-1574 -2707 205 @
-1200 -2833 241 @
-1985 -2463 368 @
-1958 -2712 223 @
201 -1264 116 "Main Gate"
281 -1615 168 @
446 -1395 448 "Main Gate Wall"
-196 -1213 448 @
125 -1310 448 @
-740 960 248 "Mapping Supplies"
832 -1244 168 "North Depot"
964 -1342 168 @
961 -1444 168 "North Depot Hallway"
410 -1612 168 @
804 -1743 168 @
730 -2753 192 @
-2606 2849 86 "North Hangar"
-2602 2490 86 @
-3292 2681 102 @
-230 1247 440 "North MG Bunker"
977 2110 274 "North Pass"
1434 1422 278 @
-8 2569 196 @
91 1693 234 @
-189 1454 301 @
-488 1975 222 @
-2241 2666 102 "North Ramp"
-1894 2666 102 @
-1511 2671 73 @
-1112 2672 19 @
-1682 3218 146 "North Ramp Bunker"
-669 2633 30 "North Rocket"
-1448 3228 170 "North Rocket Console"
-1234 1968 138 "North Rocket Yard"
-659 2260 77 @
-1135 2356 64 @
-1551 2339 64 @
-2038 2292 64 @
-2481 2259 64 @
-2593 2659 358 @
-1378 2994 127 @
-1010 2951 121 @
-491 2949 137 @
-434 2642 76 @
-762 1470 248 "North Upper Base"
-1226 1846 248 @
-812 1796 248 @
807 2078 240 "Pump Room"
97 1878 240 @
2090 749 96 "Radar Station"
2737 797 96 @
2913 646 96 @
2913 1001 96 @
2690 1581 96 @
2857 1354 105 @
2881 1778 96 @
1697 1333 187 @
2010 1659 96 @
2843 1610 240 @
576 679 -119 "Radar Station Hallway"
1686 727 -119 @
1813 -2834 232 "Side Door"
723 -2977 208 "Side Passage"
1112 -3245 232 @
1825 -3113 232 @
1622 -2240 232 "South Depot"
1301 -2042 232 @
1309 -2820 240 @
1913 -2504 232 @
1809 -2690 232 @
1948 -2840 232 @
-2686 -31 134 "South Hangar"
-2704 -411 134 @
-3410 -426 134 @
-3455 -14 134 @
-839 -235 78 "South Launch Tower"
262 446 440 "South MG Bunker"
418 -134 273 "South Pass"
36 -460 217 @
-341 -413 191 @
-155 -145 238 @
109 30 314 @
496 134 496 @
642 -824 211 @
-2483 -238 150 "South Ramp"
-1959 -231 150 @
-1135 -233 55 @
-1531 -231 109 @
-1875 467 160 "South Ramp Bunker"
-3011 -235 126 "South Rocket"
-1637 469 184 "South Rocket Console"
-529 -229 161 "South Rocket Yard"
-847 101 114 @
-1182 148 133 @
-1531 141 89 @
-1912 112 70 @
-2584 85 116 @
-2709 -258 406 @
-2585 -640 182 @
-2124 -621 98 @
-1720 -615 105 @
-1289 -609 120 @
-1008 -786 301 @
-1200 -3187 0 "South Tunnel"
63 -3178 0 @
-1010 419 248 "South Upper Base"
-807 669 248 @
-224 674 248 @
262 515 248 @
-218 1241 260 @
2871 804 96 "Supply Cabinets"
-535 1245 253 "Upper Base"
-746 1161 248 @
-1049 1322 248 @
-756 1338 248 @
-432 1263 424 @
-734 782 424 @
-851 1798 424 @
-1055 918 24 "Upper Base Hallway"
169 496 -119 @
499 103 288 "Upper Tunnel"
1342 1163 240 @
531 459 240 @
-2454 -2220 225 "West Lower Base"
-1581 -2826 208 @
-1308 -2836 216 @
-2073 -2811 208 @
-1742 -3144 208 @
-2106 -2462 368 @
-2131 -2246 368 @
-1987 -2794 368 @
-1634 -2814 368 @
-1313 -2828 368 @
-2188 -2660 368 @
-2433 -2789 208 @
