/////////////////////////////////////////////////////////
// Map name       Vesuvius                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-06-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1311 1247 1764 "Axis Team Door"
-896 6428 2388 "Castle Spawn"
-4497 -5378 1456 "Church"
-4249 -4740 1456 @
-5366 -4037 1456 @
-5045 -4726 1456 @
-4352 -3669 1408 "Church Square"
-4082 -4727 1456 @
-4328 -5375 1424 @
-1928 -4888 1280 @
-3319 -3724 1104 @
-3466 -6318 1280 @
-5344 -3841 1408 "Cloister"
-4527 -3673 1408 @
-1410 -2491 1856 "Command Post"
-940 -3323 1520 "Command Post Stairs"
-954 -2828 1872 @
1836 3875 2352 "East Ruins"
1976 2443 2128 @
2618 2498 2128 @
1525 3875 2352 "East Ruins Cabinets"
-79 -4240 1301 "East Street"
-343 -3532 1408 @
-389 -2788 1470 @
-812 -1381 1888 @
-568 -1866 1856 @
-469 -2491 1572 @
-1206 -1312 1924 @
-1801 -1350 2105 @
-629 -3044 1512 @
-763 -3333 1512 @
-812 -1381 2144 "East Street Bridge"
-352 -3153 1409 "East Street Gate"
-796 -2162 2144 "East Street House"
-1408 -2351 1872 @
-744 -1863 2144 @
-758 -2757 1878 "East Street Roofs"
-785 -2558 1898 @
-2095 -1610 2176 "Flag Cabinets"
-1190 5432 2238 "Foot Bridge"
-664 -426 2000 "Forward Flag"
-429 -943 2320 @
-1200 -995 2000 @
-182 -777 2000 @
-429 7 2320 @
-449 486 2000 @
-704 119 2000 @
237 -4908 1424 "Lava"
-81 -4951 1243 @
-2485 -3667 1256 "Narrow Alley"
-2379 -2202 2176 @
-2620 -1821 2176 @
-1694 -2514 1843 @
-1191 5433 1708 "North Valley"
158 5611 1716 @
819 5181 1851 @
462 2637 1703 @
618 3859 1744 @
643 4595 1817 @
-475 5494 1784 @
-2131 5350 1741 @
-2905 4828 1736 @
-2491 3796 1696 @
-1762 3383 1568 @
870 2649 2271 "North Valley Hills"
105 2562 2172 @
1203 3883 2306 @
190 3875 2248 @
352 5074 2200 @
1092 4641 2081 @
374 4568 2248 @
-1313 4728 2186 @
-517 5064 2239 @
-2179 5577 2212 @
-2987 4836 2229 @
-2795 3781 2239 @
-3159 3274 2255 @
-2488 3201 2181 @
-1809 3985 2112 @
-1283 3372 2120 @
-3395 3900 2254 @
-3395 3900 2058 "North Valley Ladder"
-3395 3900 1879 @
289 6180 2137 "Outside The Castle"
1031 5237 2196 @
-1221 6324 2388 @
-469 6385 2308 @
-906 6016 2260 @
-553 3344 1467 "Ruins"
-553 3344 1801 @
-527 3352 2138 "Ruins Access Rope"
-469 4779 1600 "Ruins North Entrance"
-521 4120 1525 "Ruins North Spa Room"
-533 2632 1517 "Ruins South Spa Room"
-231 481 1927 "Ruins Street"
427 555 1824 @
1225 506 1709 @
1608 830 1687 @
1491 1246 1760 @
1612 2157 1994 @
1205 1243 1760 "Ruins Street Passage"
873 1405 1916 @
427 738 2371 "Ruins Street Roofs"
1225 506 2253 @
1436 832 2248 @
1491 1246 2175 @
-243 786 2394 @
425 234 1904 "Ruins Street Stairs"
-428 186 2320 "Ruins Street Terrace"
-449 486 2320 @
-238 192 2256 "Ruins Street Walkway"
425 234 2256 @
1228 201 2256 @
1900 827 2256 @
1918 1244 2256 @
1936 2156 2256 @
2628 2172 2256 @
-1711 -4914 1286 "South Colonnade"
-1054 -4927 1296 @
-980 -5240 1312 @
455 2289 1642 "South Valley"
495 1643 1635 @
180 1687 1601 @
-493 1695 1598 @
-1538 2168 1710 @
-2530 2132 1818 @
-2818 1534 1809 @
-1608 1357 1998 @
-2412 81 2176 @
-2914 -264 2200 @
-1930 -299 2200 @
-2456 -540 2176 "South Valley Gate"
717 1553 1943 "South Valley Hills"
926 2302 2134 @
101 2290 2136 @
188 1367 1896 @
30 2009 2136 @
-492 2054 2136 @
-479 1265 1851 @
-3261 1754 2176 @
-2532 2391 2222 @
-1228 2197 2164 @
-1971 2607 2186 @
-3458 -6526 1280 "Truck Escape"
-647 -5205 1280 "Truck Ramp"
-271 -4702 1280 @
242 -5322 1568 "Truck Ramp Overlook"
-498 2370 2128 "Upper Ruins"
-179 2943 2144 @
-865 2828 2144 @
-654 3929 2144 @
-1303 4382 2144 @
-1821 4188 2144 @
-534 3374 1128 "Urn"
-2703 -779 2176 "Valley Gate Square"
-2832 -1361 2176 @
-2109 -1365 2131 @
-2704 -524 2176 "Valley Gate Tower"
-2542 2536 2444 "Valley Hills MG42"
-3162 2912 2240 "Valley Hills Passage"
-2516 2896 2444 @
-3517 1759 2176 @
-3384 -2938 1104 "West Alley"
-4298 -2587 1104 @
-4267 -1284 1488 @
-3341 -1365 2176 @
-1128 3050 1608 "West Ruins Gate"
