/////////////////////////////////////////////////////////
// Map name       The Holy Grail                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    07-04-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1672 2605 -63 "Allied Base"
-3094 -67 -71 "Allied CP"
-2705 2258 -60 "Allied MG42"
-3415 2264 -63 "Allied Supply Room"
-3044 2610 172 "Allied Yard"
-2169 2621 -63 @
1152 1408 456 "Axis CP"
760 2086 456 "Axis Supply Room"
-837 1402 -255 "Basement"
-844 2139 -255 @
-958 2562 -255 @
-722 2144 -47 "Burial Chamber"
-553 556 -63 "Cemetary"
779 -144 -63 @
1001 657 -36 @
-481 -136 -63 @
963 204 -63 @
80 -143 -63 @
-630 1810 -47 "Central Nave"
769 1813 -47 @
1188 1742 -47 @
1152 1408 -47 @
1172 982 -47 @
404 969 -43 @
850 1052 -47 @
407 1407 -47 @
410 1786 -47 @
-18 1394 -47 @
-12 1004 -47 @
-50 1793 -47 @
-481 1406 184 @
-609 987 -47 @
1430 2130 -47 "Chamber"
-959 461 524 "Chandelier"
-957 949 524 @
-959 1857 511 @
-964 2346 511 @
849 1407 464 @
407 1407 464 @
-18 1394 449 @
-481 1406 464 @
1689 -765 -87 "Chapel"
1696 -1266 -87 @
1431 -1493 -87 @
1962 -1492 -87 @
1677 -616 -71 "Chapel Admission"
1700 -334 -55 @
1435 -120 -39 "Cloister"
1698 -130 -39 @
2506 759 -39 @
1174 780 -39 @
1157 269 -39 @
1098 -128 -39 "Cloister Door"
-2842 1411 -63 "Courtyard"
-3385 1910 -63 @
-3048 1919 -63 @
-3070 403 -61 @
-1755 643 -67 @
-1988 -62 -50 @
-2638 355 -62 @
-2739 1921 -63 @
-773 -164 -63 @
-1479 185 -63 @
-2416 2229 -62 @
-1686 2296 -65 @
-502 -553 -71 @
-1586 999 -63 @
-1249 -422 -71 @
-1602 -200 -23 @
-3415 2264 192 "Dormitory"
-3034 2302 168 @
1001 657 244 "Drainpipe"
1001 657 86 @
-474 -263 126 @
2301 1417 -47 "End Altar"
2491 973 -47 "End Nave"
1452 1006 -47 @
1458 1408 -47 @
1433 1755 -47 @
1912 1409 -47 @
2332 1875 -47 @
-961 -450 -71 "Forward Spawn"
-829 1839 456 "Gallery"
-630 1810 456 @
769 1813 456 @
1188 1742 456 @
-806 459 688 @
-959 230 688 @
-1133 462 688 @
-1133 952 688 @
-771 965 456 @
-793 847 688 @
-804 2359 456 @
963 1407 456 @
1172 982 456 @
404 969 456 @
850 1052 456 @
410 1786 456 @
-12 1004 456 @
-50 1793 456 @
-609 987 456 @
-3072 231 -71 "Garden"
-2129 -52 -71 @
-2895 -65 -67 @
-2637 256 -71 @
-3100 -350 -71 @
-2148 -420 -71 @
-1972 -460 -63 "Garden House"
-1603 -349 -63 @
263 1288 2148 "God's Foot"
1692 -1500 -83 "Grenade Casket"
-955 464 -47 "Hallway"
-973 947 -47 @
-1234 1405 -47 @
-2163 1421 -47 @
-2184 1706 -47 @
-2224 1014 -47 @
-829 1839 -47 @
-844 2139 -47 @
-959 1407 -47 "Hallway Altar"
-947 2778 528 "Holy Grail"
-3034 2302 -63 "Library"
-2413 1408 -47 "Main Entrance"
-758 1404 456 "Organ Pipes"
854 1534 32 "Pulpit MG42"
-525 895 704 "Roof"
1054 -140 401 @
1042 661 392 @
-462 -262 372 @
91 -249 361 @
-215 851 704 @
-576 455 708 @
-549 217 552 @
-552 662 708 "Roof Access"
-345 -230 342 "Roof Bridge"
-227 697 656 @
-206 222 530 @
-829 1839 186 "Rope"
-1482 639 -47 "Side Entrance"
1147 2122 512 "Stairs"
1151 2138 -47 @
-958 2562 -31 "Tower Entrance"
-945 2763 356 "Tower Stairs"
-945 2763 92 @
