/////////////////////////////////////////////////////////
// Map name       Warehouse                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-3719 -95 -367 "Allied Spawn"
-3760 51 -367 @
-4142 89 -371 @
-204 2240 194 "Ammo Cabinet"
1557 731 320 "Axis Spawn"
1559 953 320 @
1764 302 320 @
2020 306 320 @
1547 401 320 @
4725 1718 12 "Bomb"
4752 1852 12 @
4347 2258 -191 "Bomb Bunker"
4820 2330 -203 @
4335 1814 -203 @
4324 1398 -203 @
4338 1627 -203 @
4312 1495 12 @
4319 1590 16 @
4805 2082 12 @
4827 1432 12 @
4760 1689 -203 @
4199 1821 -203 "Bomb Bunker Controls"
4186 2138 -203 @
3935 1561 -203 @
4205 1569 -203 @
3613 2405 -203 "Bomb Bunker Corridors"
4186 2290 -203 @
3672 1656 -203 @
3931 1439 -203 @
4200 1395 -203 @
3789 1982 -203 @
3514 2011 -207 "Bomb Bunker Doors"
4208 1700 -11 "Bomb Bunker Office"
3573 1694 -11 @
4196 1461 -11 "Bomb Bunker Radio Room"
3575 1486 -11 @
3459 1697 -11 "Bomb Bunker Storage"
3453 1498 -11 @
2722 1691 -203 @
2979 1145 -107 @
2999 1525 -203 @
2965 2174 -203 @
3283 1993 -203 @
4356 2286 -359 "Bomb Bunker Tunnel"
4085 2671 -392 @
-68 1746 0 "Command Post"
-224 1534 216 "Crane Control Room"
33 1681 201 @
-215 1807 192 @
-223 1421 232 "Crane Storage"
-301 1802 0 @
-68 1639 0 @
-196 1172 0 @
-296 1311 0 @
150 1817 0 @
836 1850 72 @
1355 1824 72 @
1572 1445 72 @
1476 1153 72 @
683 1210 72 @
3591 3074 -407 "Generators"
3940 2661 -407 @
3602 2728 -395 @
3475 2396 -227 "Generators Stairs"
3471 2710 -359 @
2425 2785 -407 "Generators Tunnel"
3467 3056 -407 @
119 733 72 "Health and Ammo Cabinets"
-64 741 0 @
-1349 -507 272 "Loading Bay Roof"
-719 -440 350 @
-1350 121 272 @
-1362 -198 269 @
-883 155 276 @
-695 -112 352 @
-691 -282 353 @
-1039 -130 324 @
-690 -204 353 @
143 1044 72 "Locker Room"
164 896 72 @
272 788 72 @
334 629 72 @
511 627 72 @
142 441 72 @
22 588 72 @
20 1027 72 @
-178 740 0 @
-196 1037 0 @
898 920 72 "MG42"
688 1086 72 "MG42 Corridor"
747 926 72 @
-388 124 72 "Middle Bunker Corridor"
-6 155 72 @
964 132 72 @
623 701 72 @
1470 1026 72 @
1160 634 72 @
969 451 72 @
890 685 72 @
1100 123 72 "Middle Bunker Guard Post"
1148 484 72 @
-539 2019 192 "North Bunker Corridor"
-210 1971 192 @
23 2075 192 @
261 1998 177 @
831 1958 72 @
1359 1969 72 @
1531 2013 72 @
-339 2064 192 @
2275 2795 -407 "North Stairwell"
2137 2369 72 @
-3758 185 -367 "North Tunnel"
-3792 553 -415 @
-3777 1114 -415 @
-3774 1537 -415 @
-3768 1976 -415 @
-3255 2218 -415 @
-2572 2216 -415 @
-2954 2176 -415 @
-3150 1775 -415 @
-201 -291 324 "Offices"
-38 -446 324 @
99 -277 324 @
-74 -160 324 @
-356 -506 324 @
-606 -333 324 @
-497 -465 324 @
388 -145 324 @
327 -798 324 @
-610 -46 324 @
-611 -177 324 @
344 -321 72 "Offices Stairs"
509 -138 300 @
-614 -438 324 "Offices Window"
-4039 219 -382 "Outside Allied Spawn"
-4233 229 -376 @
-3211 438 -60 @
-3186 909 -93 @
-2730 1013 -11 @
-3059 1014 -78 @
-2508 1025 -31 @
-2302 1141 -40 @
-2304 2196 -142 @
-2310 1763 -79 @
-2324 3069 -8 @
-2537 2617 -248 @
-2593 2190 -199 @
-2826 2415 -257 @
-2994 2097 -237 @
-9 -193 72 "Security Doors"
-4 14 82 @
-2802 -1094 -75 "Service Door"
-2793 -1239 -63 @
-2672 -1384 -63 "Service Storage"
-2947 -1378 -63 @
-2223 -1213 32 @
-2241 -1746 32 @
-2254 -1976 32 @
-2968 -2003 0 @
-2528 -1986 32 @
-2813 -2013 0 @
-2804 -942 -123 "Service Tunnel"
-3592 -93 -367 @
250 449 68 "Showers"
308 529 68 @
519 524 68 @
1651 2012 72 "Small North Storage"
2123 2235 72 @
2320 1955 72 @
2771 1928 312 @
2848 1951 72 @
257 894 90 "Toilets"
270 1048 90 @
-2112 -1755 4 "Trainyard"
-2127 -1996 0 @
-2232 -2115 12 @
-2569 -2082 109 @
-2126 -1215 -18 @
-2228 -1102 -2 @
-2403 -2098 31 @
-3008 834 -46 @
-3008 293 40 @
-2720 849 -6 @
-2484 839 -30 @
-2123 638 -25 @
-2105 1128 -33 @
-2115 2142 -68 @
-2108 2327 -51 @
-2146 3261 73 @
-890 1227 -30 @
-1221 1165 -30 @
-874 -2002 -18 @
-1287 -2003 -46 @
-1401 -1893 -33 @
-1397 -1565 -29 @
-1417 -1209 -33 @
-1395 -889 -33 @
-1403 -506 -33 @
-1401 -162 -33 @
-1400 153 -35 @
-1332 422 -33 @
-1326 726 -33 @
-1356 1077 -33 @
-1293 -1884 72 "Trainyard Loading Bay"
-905 -1889 72 @
-1298 -1579 72 @
-1298 -1159 72 @
-1305 -837 72 @
-1298 -425 72 @
-1302 45 72 @
-1299 335 72 @
-1227 635 31 @
-1239 1137 -30 @
-886 1125 -30 @
-894 67 72 @
-687 -126 72 @
-722 -502 72 @
-1210 870 -6 @
-1202 418 66 @
-1273 -139 72 @
-1264 -609 72 @
-887 -822 72 @
-890 -1118 72 @
-878 -1593 72 @
-877 -1394 72 @
-868 -1752 72 @
-786 -1869 72 "Trainyard Storage"
-774 -1555 72 @
-780 -1110 72 @
-786 -630 72 @
-796 -1714 72 @
-777 -1394 72 @
-397 -624 72 @
-29 -377 72 @
175 -313 72 @
-292 -360 72 @
-361 -619 324 @
209 -781 324 @
-45 -639 324 @
-587 -624 225 @
191 -1215 292 @
-2312 969 236 "Trainyard Tower"
-2123 1017 236 @
-2130 762 236 @
1719 1442 72 "Truck Garage"
2824 1695 72 @
2322 1738 72 @
1731 447 72 @
1724 867 72 @
2032 428 72 @
2311 441 72 @
2451 655 72 @
2736 679 72 @
2830 487 72 @
1985 1709 72 @
2551 928 72 @
2554 1198 72 @
2724 1368 72 @
2861 1109 72 @
2859 910 72 @
1769 447 312 "Truck Garage Catwalk"
2187 428 312 @
1963 431 312 @
1716 725 312 @
2777 1730 312 @
1733 1053 312 @
1762 1422 312 @
2154 1707 312 @
2503 1713 312 @
2716 922 19 "Truck Garage Ramp"
2705 1235 -88 @
2701 1515 -184 @
2651 467 116 "Truck Garage Stairs"
2320 471 284 @
-365 1310 120 "Ventilation Shaft"
-404 919 120 @
13 2212 194 "Weapons Storage"
-349 2209 194 @
-178 2371 194 @
-388 -353 72 "West Bunker Corridor"
-457 -493 72 @
-452 134 72 @
-743 63 72 @
-498 924 144 @
-550 1866 192 @
