/////////////////////////////////////////////////////////
// Map name       Warmup Final                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    23-08-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-75 -1292 1040 "Allied Safe"
213 1083 896 "Allied Spawn"
836 963 928 @
-40 -1225 864 "Allied Tower"
-64 -1517 992 @
-1856 -539 960 "Ammo Cabinets"
925 -546 960 @
-857 -1272 1040 "Axis Safe"
-1776 975 928 "Axis Spawn"
-1134 1085 896 @
-892 -1232 864 "Axis Tower"
-867 -1510 976 @
-465 1154 1072 "Command Post"
844 -156 960 "East Buildings"
905 -544 1104 @
905 209 1104 @
905 586 960 @
851 839 960 "East Street"
361 806 960 @
355 382 960 @
364 -18 960 @
380 -660 960 @
381 -1085 864 @
718 -546 960 @
712 -157 960 @
737 -794 944 @
621 183 960 @
904 692 960 @
870 382 1600 "East Tower"
96 1082 896 "Garden"
-459 1320 880 @
-1028 1082 896 @
-815 1101 896 @
-113 1138 896 @
136 385 832 "Market Square"
-80 840 832 @
-467 268 896 @
-140 440 832 @
-307 250 896 @
255 -38 832 @
246 -663 832 @
264 -1091 832 @
-24 -1104 832 @
-894 -1099 832 @
-1187 -1084 832 @
-1210 -664 832 @
-1191 26 832 @
-1065 384 832 @
-854 842 832 @
-749 414 832 @
-638 261 896 @
-359 -1246 832 @
-602 -1253 832 @
-1220 -1292 832 @
265 -1275 832 @
890 -836 1456 "South-East Tower"
884 -795 1104 @
-1840 -831 1456 "South-West Tower"
-1820 -801 1104 @
-463 395 896 "Town Hall"
-464 1210 896 @
-457 862 1072 @
-285 431 896 @
-466 816 896 @
-626 419 896 @
-616 1129 896 @
-328 1132 896 @
-1788 -155 960 "West Buildings"
-1850 -533 1104 @
-1826 195 1104 @
-1839 595 960 @
-1294 390 960 "West Street"
-1780 835 960 @
-1298 847 960 @
-1306 14 960 @
-1306 -660 960 @
-1319 -1077 864 @
-1630 -530 960 @
-1638 -161 960 @
-1652 -765 944 @
-1530 206 960 @
-1843 697 960 @
-1843 379 1600 "West Tower"
