/////////////////////////////////////////////////////////
// Map name       Whoreage Canyon 1                    //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    06-10-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
5235 -108 1112 "Ammo Cabinets"
5103 3374 1312 @
1824 -682 704 @
1697 2099 1136 @
2992 2412 1136 "Axis Base Building #1"
2554 2413 1136 @
2989 2410 1312 @
2948 2584 1312 @
1598 1542 1328 "Axis Base Building #2"
1732 1328 1136 @
1704 1976 1136 @
1532 2122 1136 @
1702 2104 1328 @
1655 1141 1328 @
1056 1084 1328 @
959 2179 1328 @
949 1576 1328 @
3757 754 1108 "Axis Base Catwalk"
3763 -128 1108 @
3757 222 1108 @
3770 703 1341 @
5315 891 1128 "Axis Base Corridors"
4821 900 1344 @
4932 1260 1344 @
5302 1946 1120 @
5665 2557 1112 @
6012 2618 1112 @
5707 2878 1112 @
4884 2869 1112 @
4891 2327 1216 @
3652 2311 1216 @
5711 3070 1320 @
5577 3073 1312 @
4727 3011 1312 @
2945 2691 1312 @
4058 883 1344 @
2395 855 1123 "Axis Base Gate"
6011 2731 1112 "Axis Base Offices"
6207 2718 1176 @
5816 2878 1112 @
5980 3145 1320 @
5814 3076 1320 @
2796 1363 1136 "Axis Base Radio Bunker"
3493 1634 1136 @
3175 1420 1312 @
3329 1190 1312 @
2794 1203 1312 @
2832 1547 1312 @
3032 1725 1296 @
2973 2005 1312 @
2794 1830 1312 @
3299 1266 1136 @
3386 1301 1136 @
3503 1876 1312 @
3495 1626 1312 @
3034 1567 1440 @
6808 2798 1248 "Axis Base Red Corridor"
5990 3250 1320 @
6809 2692 1248 "Axis Base Red Room"
6854 2524 1262 @
6454 2527 1263 @
3459 1878 1120 "Axis Base Stairs Entrance"
3638 1054 704 @
3062 1215 832 @
5472 3070 1312 "Axis Base Storage"
5108 3278 1312 @
5279 3421 1352 @
4947 3421 1312 @
4818 3010 1312 @
6207 2644 1168 "Axis Base Vent"
6375 2525 1256 @
6946 2532 1256 @
7128 2392 1168 @
7476 1487 1120 @
7012 1105 1120 @
6750 1048 1120 @
7584 1049 1120 @
3771 889 1344 "Axis Base Wall"
3379 895 1344 @
2769 889 1344 @
2394 898 1344 @
1966 899 1344 @
1682 891 1344 @
2989 2305 1136 "Axis Base Yard"
3516 2321 1216 @
2978 2088 1136 @
2607 2053 1136 @
2607 1832 1288 @
2702 1369 1136 @
2592 1605 1136 @
2367 1848 1136 @
1847 1975 1136 @
1843 2140 1136 @
1659 2266 1136 @
964 2262 1175 @
867 2188 1165 @
868 1574 1136 @
1830 1333 1136 @
1755 1029 1136 @
1925 1077 1136 @
2394 1153 1136 @
2729 1022 1136 @
3340 1057 1136 @
3793 1032 1136 @
3608 1634 1136 @
3664 1247 1136 @
3656 2111 1195 @
2554 2297 1136 @
2290 2397 1136 @
3589 1869 1136 @
2605 1874 1136 "Axis Base Yard MG42"
4665 -216 944 "Axis Basement"
4923 -147 1112 @
4814 -448 1112 @
4999 27 1112 @
5306 755 1112 @
5896 696 1112 @
6078 1088 1112 @
6420 695 1112 @
6676 1048 1125 @
6632 685 1112 "Axis Basement MG42"
5097 913 1344 @
3058 1554 1312 "Axis Transmission Radio"
-3776 -1249 245 "Beach"
-920 -973 680 @
-730 -1785 751 @
-795 -2054 746 @
-590 -2170 765 @
-782 -1429 705 @
-643 -1796 736 "Beach Bunker"
569 -1771 608 @
1238 -1324 688 @
-10 -1795 736 @
-580 -2019 736 "Beach Bunker Door"
-12 -1758 930 "Beach Bunker Ladder"
3630 -795 944 "Bunker Door"
-527 -1404 708 "Canyon"
709 -497 865 @
755 -1305 829 @
-373 -2250 757 @
256 -2161 790 @
3 -1438 780 @
585 -2159 842 @
717 -2014 847 @
1996 -179 1088 "Canyon Bunker"
1676 20 1088 @
1684 374 1088 @
869 363 1344 @
-611 -769 1344 @
-332 -28 1344 @
1566 894 1344 @
1051 901 1344 @
1703 -205 1088 "Canyon Bunker MG42"
2359 -2018 808 "Canyon Tunnel"
1654 -2237 648 @
983 -2235 794 @
721 -2170 816 @
4411 -860 1112 "Command Post"
2905 -1162 704 "Covered Trenches"
3244 -577 704 @
3212 77 704 @
3627 917 704 @
1819 -752 704 "Forward Spawn"
1980 -649 704 @
2149 -716 704 @
2082 -988 704 @
1827 -681 888 "Forward Spawn Roof"
2150 -720 888 @
2071 -979 888 @
1803 -743 888 @
5972 1496 1136 "Generator Controls"
7293 1770 1112 "Generator Office"
7398 1489 1112 @
7221 1434 1112 @
7099 1544 1112 @
7126 2318 1144 @
