/////////////////////////////////////////////////////////
// Map name       Wodanfire's Assault v2.0             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 21                //
// Last edited    22-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2083 2295 608 "^1Allied Command Post"
-1119 -2305 600 "^1Allied Transmitter"
2749 3258 1216 "^1Axis Command Post"
1266 3891 644 "^1Bunker Door"
1440 1156 590 "^1Seawall"
3187 1635 1216 "^1Stairwell Door"
2446 2477 1216 "^3Antenna Roof"
2429 2816 1216 @
2752 2813 1216 @
2734 2469 1216 @
2429 2334 1199 "^3Antenna Roof Net"
2416 2020 1200 @
2748 2004 1199 @
2776 2321 1199 @
3114 1940 960 "^3Barracks"
3308 2032 960 @
3461 2011 960 @
3505 1656 960 @
3321 1663 960 @
-1786 3497 139 "^3Beach"
-2182 178 164 @
-2135 -1269 345 @
-1426 -765 292 @
-487 -305 575 @
455 152 570 @
1219 866 512 @
1241 1181 517 @
1339 1407 589 @
1302 1740 667 @
1230 2286 665 @
1119 2690 682 @
1124 3182 642 @
1057 3423 604 @
1084 3777 535 @
1120 4052 584 @
-1019 -841 547 @
-1824 -1499 349 @
-1109 -1616 573 @
-1106 -2119 580 @
-1317 -2298 572 @
-1151 -2615 572 @
-1816 -2230 376 @
-2391 -2328 510 @
-1557 -1930 426 @
-1088 -1252 584 "^3Beach Guard Post"
2497 3110 704 "^3Bunker Corridor"
2496 3562 664 @
2395 3941 664 @
2204 2036 783 "^3Bunker Yard"
2221 2379 854 @
2222 2682 863 @
2230 2975 957 @
2222 3316 909 @
2210 3713 788 @
2031 3646 782 @
1973 3383 786 @
1977 3123 788 @
1965 2839 796 @
1834 2690 777 @
1991 2498 795 @
1982 2198 773 @
1979 1992 773 @
1398 2538 768 @
1619 2292 772 @
1635 1894 771 @
2212 4155 794 @
1917 4140 797 @
1653 4124 813 @
1653 3856 808 @
1642 3605 795 @
1631 3340 791 @
1602 3044 768 @
2956 1441 960 "^3Command Post Bunker"
2590 2984 799 "^3Corridor Ladder"
2408 3672 864 "^3Corridor Roof"
2398 4135 864 @
2826 3817 864 @
2485 2925 704 "^3Corridor Window"
2941 3193 960 "^3Dead End"
3131 2046 576 "^3Documents Room"
3394 2028 576 @
2648 1655 512 @
2802 1826 512 @
2846 2100 512 @
3206 1655 496 @
1221 3349 720 "^3Forward Bunker"
1224 3566 720 @
1429 3755 672 @
1446 3341 720 @
1377 4254 896 "^3Forward Bunker Roof"
1515 4038 896 @
1360 3745 896 @
1201 3554 896 @
1194 3318 896 @
1495 3322 896 @
2874 2791 576 "^3Lower Barracks"
2965 2527 576 @
2391 1994 960 "^3Lower Platform"
2376 2289 960 @
2777 2288 960 @
2943 2743 960 @
2955 2354 960 @
2949 1972 960 @
2631 2014 960 @
2942 2973 1216 "^3Main Bunker"
3140 3113 1216 @
2936 3263 1216 @
2422 3339 1216 @
2405 2981 1216 @
2645 3078 1216 @
2745 3016 960 @
2598 3062 960 @
2423 2992 960 @
2634 3325 960 @
2424 3369 960 @
2752 2636 960 "^3North Bunker"
2635 2833 960 @
2380 2764 960 @
2370 2465 1008 @
2768 2454 960 @
2760 3110 776 "^3North Bunker Stairs"
2748 2798 912 @
3472 3016 576 "^3North Corridor"
2908 3019 576 @
3138 2889 576 @
3145 2187 576 @
3144 2526 576 @
3640 3051 1216 "^3North Stairwell"
3929 3073 1056 @
3635 3038 896 @
3903 3081 736 @
3611 3012 576 @
2316 1824 768 "^3Platform Stairs"
2732 1832 924 @
3299 3090 1216 "^3Radio Room"
3493 3100 1216 @
2280 1214 1069 "^3Seawall Ladder"
1833 1636 779 "^3Seawall Yard"
1726 1405 752 @
1761 1155 699 @
2115 1031 874 @
2206 1488 864 @
-2607 -1870 712 "^3Sniper Hill"
2956 1626 960 "^3South Bunker"
2702 1632 960 @
2705 1274 960 @
2489 1418 960 @
2471 1652 960 @
2374 1534 960 "^3South Bunker MG"
2726 1099 972 "^3South Bunker Stairs"
2876 947 1152 @
3132 1123 1216 @
3967 1762 736 "^3South Corridor"
3750 2136 628 @
3955 2367 576 @
3871 2528 576 @
3372 2488 576 @
3392 2208 576 @
3537 1600 1216 "^3South Stairs Hall"
3464 1440 1216 @
3744 1596 1216 "^3South Stairwell"
4011 1538 1056 @
3710 1505 896 @
4043 1580 736 @
3746 1557 736 @
2036 2212 600 "^3Supply Cabinets"
3120 2139 1216 "^3Top Catwalk"
3125 2443 1216 @
3138 2808 1216 @
2880 2813 1216 @
1432 3188 684 "^3Trenches"
1549 2711 635 @
1799 2438 640 @
1811 2193 640 @
1834 1927 640 @
2043 1824 672 @
1676 2791 652 @
1814 3189 646 @
1814 3805 640 @
2227 3946 640 @
1813 3508 642 @
1438 2938 644 @
2440 1598 1216 "^3Upper Platform"
2726 1611 1216 @
2985 1596 1216 @
3146 1304 1216 @
2851 1283 1216 @
2719 1154 1216 @
3106 2000 1216 @
3208 1988 1216 @
2466 1155 1216 "^3Upper Platform MG"
3591 1447 712 "^3Ventilation Shaft"
3414 1594 712 @
3119 1604 712 @
2843 1610 712 @
2845 1852 712 @
2849 2063 712 @
2675 1606 712 @
1479 1458 679 "^3Wall"
1396 1744 716 @
1394 2168 713 @
1317 2388 725 @
1202 2659 721 @
1251 3047 724 @
