/////////////////////////////////////////////////////////
// Map name       Wolfsrudel 3                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    03-06-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1227 3265 -22 "Antenna Defense"
994 3374 -22 @
178 2687 -21 "Antenna Equipment Room"
702 1459 -13 "Barracks"
417 1176 -13 @
250 1655 -13 @
-419 2779 -22 "Base Courtyard"
-1247 2296 -22 @
265 1801 -22 @
265 1801 151 @
1111 1853 -22 @
883 1475 -22 @
1345 2937 -22 @
1346 2565 -14 @
1348 1686 -22 @
-1427 2671 -22 @
-1111 3160 -22 @
-1143 3754 -22 @
-490 4108 -22 @
127 3782 -22 @
1276 3627 -4 @
875 4032 -22 @
711 2929 -22 @
553 3581 -22 @
449 3296 -22 @
203 2050 -22 @
-303 3308 -22 @
-820 2796 -22 @
-350 1568 -22 @
-621 2071 -22 @
690 2390 -22 @
971 2691 -22 @
706 2742 -22 "Base Courtyard MG42"
-1233 2841 -22 "Bunker Side Wall"
-733 1195 12 "Bunker Team Door"
-345 1209 151 "Bunker Wall"
-806 1205 151 @
-732 1187 151 @
958 -3166 -50 "Command Post"
1098 -2971 -90 "Command Post Bunker"
742 -2733 -85 @
738 -3200 -50 @
-309 -3575 -171 "Escape Truck"
-5309 2600 -241 "Fields"
-4960 2812 -221 @
-4938 3844 -154 @
-5582 3309 -223 @
-4339 3303 -236 @
-4716 -2727 -223 @
-5516 -1492 -199 @
-3719 -3149 -197 @
-3187 -191 -203 @
-4948 3311 -208 "Forrest Hut"
-5312 2850 -216 "Forrest Hut MG42"
-1085 -1130 -12 "Forward Bunker"
-538 -1092 -69 @
-531 -1535 -69 @
-871 -1930 -69 @
-807 -1290 -69 @
-827 -1540 -69 @
-874 -2251 -117 "Forward Bunker Door"
-818 -1057 -69 "Forward Bunker MG42"
-874 -2176 84 "Forward Bunker Roof"
-1097 -1127 168 @
-811 -1049 168 @
-538 -1098 168 @
-536 -1559 168 @
-936 -1526 -69 "Forward Bunker Supplies"
134 3321 -28 "Generators"
749 -1721 234 "Hills"
1408 -1139 85 @
967 -1509 119 @
600 -1082 -4 @
936 -936 30 @
930 -1085 34 "Hills Bunker"
952 -1502 -81 @
952 -1502 -382 "Hills Bunker Corridor"
963 -2560 -382 @
930 -1085 212 "Hills Bunker Roof"
172 2686 121 "Large Antenna"
-413 2289 -358 "Lower Bunker"
250 1655 -261 "Lower Bunker Corridor"
-419 2779 -261 @
178 2687 -261 @
-1094 2095 -179 @
265 1801 -261 @
203 2050 -261 @
-820 2796 -261 @
-346 1216 -22 "Main Bunker Gate"
-2546 -215 -192 "Main Path"
-1711 -407 -117 @
968 -3328 -51 "Outside CP Bunker"
1255 -2965 -64 @
774 -2546 -142 @
570 -2730 -175 @
619 -3197 -192 @
746 -3323 -51 @
-1285 -1133 -12 "Outside Forward Bunker"
-815 -785 -115 @
-498 -770 -119 @
-362 -1068 -134 @
-351 -1547 -159 @
-656 -2189 -217 @
885 1297 -22 "Outside The Base"
1492 2547 3 @
1484 1686 29 @
1391 1507 -22 @
413 972 -22 @
-355 866 -22 @
-733 986 -22 @
-981 954 -22 @
-1676 1179 3 @
-1554 2309 -22 @
-1559 2673 -22 @
-1418 2830 -22 @
-1245 3157 -22 @
-1266 3752 -22 @
-678 272 -4 @
674 314 68 @
-493 3826 -21 "Radar Station"
-311 3618 -21 @
125 3606 -21 "Radar Station Corridor"
289 3308 -21 @
-489 3799 216 "Radar Station Roof"
125 3606 143 @
289 3306 143 @
-311 3618 216 @
1266 3970 -18 "Radio Mast"
1132 1517 -22 "Side Wall"
-2954 -3243 -158 "South Path"
-1530 -3081 -211 @
-874 -2481 -165 @
-317 -3263 -214 @
-1117 -2285 -81 @
-1249 2147 -19 "Supplies Bunker"
-1094 2095 -19 @
-1085 2099 150 @
-987 1197 -19 @
-987 1197 150 @
-1432 1177 -19 @
702 1459 151 "Upper Bunker"
417 1176 151 @
250 1655 151 @
-5402 -2798 -203 "Water Tower"
-143 2720 -22 "Wooden Barrier"
