/////////////////////////////////////////////////////////
// Map name       Battle of Wolken 1 CPC               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    30-03-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2709 -158 456 "Bunker Corridor"
3090 -21 456 @
2673 -145 216 "Bunker Office"
3005 -88 216 @
3377 17 440 "Bunker Stairwell"
2969 21 680 "Bunker Terrace"
2686 -159 680 @
2969 517 680 @
2700 367 680 @
2782 854 680 @
1578 1307 544 "Castle Corridors"
1444 1027 544 @
1177 -637 438 "Castle Courtyard"
1182 -177 538 @
2545 -160 454 @
2194 645 451 @
1727 1318 541 @
2218 -739 617 @
2560 323 437 @
2436 833 445 @
2079 1084 463 @
51 1038 310 "Castle Moat"
-384 1044 328 @
-90 1338 269 @
-214 -635 280 @
-172 -1056 294 @
191 -1078 302 @
186 -623 310 @
149 -219 308 @
-150 -220 283 @
2194 645 153 "Catacombs"
1810 220 152 @
1813 89 152 "Caves"
2424 536 152 @
2547 -142 216 @
992 1034 544 "Command Post"
2727 -674 716 "Fence"
584 -1128 448 "Forward Spawn"
2871 670 456 "Garage"
3398 346 496 @
2728 341 456 @
2781 822 456 @
-1905 -1533 592 "Island Entrance"
-2293 -1465 608 @
733 -638 442 "Main Entrance"
637 -221 448 @
-214 -635 464 "Main Entrance Bridge"
-172 -1056 448 @
191 -1078 448 @
187 -623 468 @
149 -219 448 @
-150 -220 448 @
-355 -223 448 "Main Entrance Houses"
-350 -1056 448 @
-1892 -1374 584 "Main Entrance Path"
-556 -626 451 @
-1527 -1500 609 @
-2271 -1084 600 @
390 -219 752 "Main Entrance Walls"
388 -1049 752 @
599 -637 752 @
-2283 -418 620 "Scaffolding"
-1935 12 624 @
-1484 181 620 @
2579 1498 488 "Shrine"
3274 1810 454 @
2778 958 472 "Shrine Courtyard"
2584 1315 522 @
2570 1458 768 "Shrine Rooftop"
200 1045 496 "Side Entrance"
188 1314 552 @
488 1029 544 @
51 1038 464 "Side Entrance Bridge"
-384 1044 464 @
200 1045 704 "Side Entrance Loft"
188 1314 704 @
-1935 12 425 "Side Entrance Path"
-1484 336 512 @
-2039 337 616 @
-2325 438 616 @
-868 992 477 @
-1274 184 616 @
-2438 -1083 608 "Side Entrance Road"
-2456 -423 608 @
-2278 -593 608 @
-2361 83 472 @
3274 1810 153 "Storage Cave"
3275 972 152 @
3131 553 152 "Turmfaust"
2876 670 152 @
2815 396 152 @
3273 871 152 @
3360 556 152 "Turmfaust Controls"
3379 336 668 "Upper Bunker"
2975 394 680 @
2970 121 680 @
2809 363 680 @
