/////////////////////////////////////////////////////////
// Map name       Battle of Wolken 1                   //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 22                //
// Last edited    15-10-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
992 1034 544 "^1Command Post"
733 -638 442 "^1Main Entrance"
188 1314 552 "^1Side Entrance"
2974 640 94 "^1Turmfaust"
2709 -158 456 "^3Bunker Corridor"
3090 -21 456 @
2673 -145 216 "^3Bunker Office"
3005 -88 216 @
3006 183 216 @
3377 17 440 "^3Bunker Stairwell"
2969 21 680 "^3Bunker Terrace"
2686 -159 680 @
2969 517 680 @
2700 367 680 @
2782 854 680 @
1578 1307 544 "^3Castle Corridors"
1444 1027 544 @
727 5 448 @
508 695 512 @
733 690 448 @
1177 -637 438 "^3Castle Courtyard"
1182 -177 538 @
2545 -160 454 @
2194 645 451 @
1727 1318 541 @
2218 -739 617 @
2560 323 437 @
2436 833 445 @
2079 1084 463 @
51 1038 310 "^3Castle Moat"
-384 1044 328 @
-90 1338 269 @
-214 -635 280 @
-172 -1056 294 @
191 -1078 302 @
186 -623 310 @
149 -219 308 @
-150 -220 283 @
2194 645 153 "^3Catacombs"
1810 220 152 @
1813 89 152 "^3Caves"
2547 -142 216 @
2526 637 32 @
-2716 -2582 760 "^3Entrance Corridors"
-2293 -1465 608 @
-1905 -1533 592 @
2727 -674 716 "^3Fence"
584 -1128 448 "^3Forward Spawn"
2871 670 456 "^3Garage"
3398 346 496 @
2728 341 456 @
2781 822 456 @
-2723 -3036 760 "^3Island Entrance"
-214 -635 464 "^3Main Entrance Bridge"
-172 -1056 448 @
191 -1078 448 @
187 -623 468 @
149 -219 448 @
-150 -220 448 @
-355 -223 448 "^3Main Entrance Houses"
-350 -1056 448 @
637 -221 448 @
-1892 -1374 584 "^3Main Entrance Path"
-556 -626 451 @
-1527 -1500 609 @
-2271 -1084 600 @
390 -219 752 "^3Main Entrance Walls"
388 -1049 752 @
599 -637 752 @
-2283 -418 620 "^3Scaffolding"
-1935 12 624 @
-1484 181 620 @
2579 1498 488 "^3Shrine"
3274 1810 454 @
2159 1794 525 @
2778 958 472 "^3Shrine Courtyard"
2584 1315 522 @
2570 1458 768 "^3Shrine Rooftop"
200 1045 496 "^3Side Entrance"
488 1029 544 @
51 1038 464 "^3Side Entrance Bridge"
-384 1044 464 @
200 1045 704 "^3Side Entrance Loft"
188 1314 704 @
-1935 12 425 "^3Side Entrance Path"
-1484 336 512 @
-2039 337 616 @
-2325 438 616 @
-868 992 477 @
-1274 184 616 @
-2438 -1083 608 "^3Side Entrance Road"
-2456 -423 608 @
-2278 -593 608 @
-2361 83 472 @
3269 1836 217 "^3Storage Cave"
3272 1308 216 @
3272 1161 216 "^3Turmfaust Bunker"
3347 616 216 @
3004 340 216 @
2685 639 24 @
2930 976 24 @
3379 336 668 "^3Upper Bunker"
2975 394 680 @
2970 121 680 @
2809 363 680 @
