/////////////////////////////////////////////////////////
// Map name       Battle of Wolken 2                   //
// Locations by   chr1s                                //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    16-07-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2488 -1472 776 "Abandoned Apartment"
1944 -1648 776 @
1384 -1656 776 @
792 -1600 776 @
-3184 -592 1032 "Air Vent"
-3696 -352 1032 @
-3184 -360 1032 @
-3184 -224 1032 @
-3584 -1768 704 "Airbase Rear"
-3320 1456 704 @
-3856 744 704 @
-3720 -1352 704 @
-3856 -688 704 @
-2232 88 960 "Axis Exit"
-2232 -352 960 @
-1984 -128 960 @
-1800 -128 904 "Balcony"
-1808 616 904 @
-1832 -560 904 @
-2480 608 1120 "Cantina"
-2816 -24 1120 @
-3064 592 1120 @
-3088 -24 1120 @
-2448 -648 1120 @
-2736 384 1184 @
-2504 -8 1120 @
-1040 -2760 600 "Command Post"
-1240 -2936 600 "Command Post Hut"
-896 -2968 600 @
-712 -2872 600 @
-648 -2440 600 @
-1248 -2360 600 @
-1248 -2616 600 @
-776 -2592 600 @
-1040 -2568 600 @
-1024 -2296 600 @
-3176 696 2160 "Control Tower"
-2816 696 2168 @
-2568 696 2168 @
-2696 544 2168 @
-2936 536 2168 @
-2688 384 1888 "Control Tower (Lower Area)"
-2968 384 1872 @
-2872 560 1872 @
1568 832 720 "Crossroads"
1168 816 720 @
1648 1056 720 @
-3192 -184 904 "Dorm To Hangar 1 Lift"
-3192 -184 136 @
1504 64 672 "East Complex Exit"
-3304 -688 1608 "External Walkway"
-3304 384 2120 @
-3304 24 1912 @
-3304 -312 1784 @
-464 192 640 "Footbridge"
-912 192 640 @
-2432 -2464 192 "Fuel Tank"
-2568 -2072 192 @
-2680 -2464 192 @
-2304 -984 192 "Hangar 1 (East)"
-2232 -192 192 @
-1448 -688 192 @
-2248 -672 192 @
-1432 -208 192 @
-2488 -648 192 "Hangar 1 (Loading Shaft)"
-2480 -192 192 @
-2848 -448 192 @
-1440 312 192 "Hangar 1 (North)"
-1720 544 192 @
-1728 48 192 @
-1976 40 192 "Hangar 1 (Passage)"
-2776 40 192 @
-3184 32 192 @
-3312 56 192 "Hangar 1 (Rear Storage)"
-3528 48 192 @
-3456 -496 192 @
-3464 -232 392 "Hangar 1 (Upper Storage)"
-3560 -976 392 @
-3352 -976 392 @
-2808 -1400 192 "Hangar 1 (South)"
-2568 -1760 192 @
-1664 -1520 192 @
-1896 -2016 192 @
-2248 -1408 192 @
-2656 -896 192 "Hangar 1 (Substation)"
-2816 -1208 192 @
-3192 -696 904 "Hangar 1 To Dorm Lift"
-3192 -696 136 @
-2088 -640 656 "Hangar 2 (Health & Ammo)"
-2088 -256 656 @
-2448 -224 688 "Hangar 2 (Loading Shaft)"
-2848 -448 688 @
-2448 -736 688 @
-3456 -976 640 "Hangar 2 (Maintenance Area)"
-3456 -192 640 @
-2912 576 688 "Hangar 2 (North)"
-3464 552 688 @
-3392 -8 688 @
-2568 -16 688 @
-2136 376 688 @
-2128 80 688 @
-2384 -1672 688 "Hangar 2 (South)"
-2336 -880 688 @
-2064 -880 688 @
-2632 -872 688 @
-2704 -1264 688 @
-2904 -1496 688 @
-2736 384 1232 "Ladder Cave"
-2736 384 1448 @
-2848 -448 1096 "Loading Shaft"
-2848 -448 432 @
2000 -912 768 "Lower Corridor"
1984 -672 768 @
1632 -624 720 @
1616 0 720 @
-1792 -1080 1328 "MG42 Tower"
-1832 -872 1128 @
-2008 -1088 1376 @
-2424 -1200 960 "Main Corridor"
-2232 -552 960 @
-2232 -1032 960 @
-2824 -1032 1496 "Main Stairway"
-2456 -1144 1112 @
-2968 -1240 1304 @
-2696 -1248 1304 @
-2696 -840 1112 @
-2456 -840 1112 @
-2968 -832 1112 @
-3072 -992 1112 @
-2408 -208 488 "Maintenance Floor"
-2336 -1896 488 @
-2416 -1576 488 @
-2408 -728 488 @
-2416 -1160 488 @
-2664 -896 344 "Maintenance Hatch"
592 1136 720 "North Bridge"
288 1072 608 @
-112 1232 608 @
-528 1104 544 @
-832 1264 608 @
-992 1072 544 @
-2560 1776 688 "North Entrance (Inside)"
-2688 1312 688 @
-2416 1328 688 @
-2320 1984 608 "North Entrance (Outside)"
-2752 2000 608 @
-2560 2192 608 @
-2832 1728 696 @
-2688 1856 928 "North Entrance (Roof)"
-2416 1856 928 @
-2688 1472 928 @
-2416 1472 928 @
2008 2320 808 "North Mini-Complex"
1728 1808 808 @
2240 2000 808 @
3216 1344 720 "North Spawn"
3488 1328 720 @
3200 1344 896 @
3488 1344 896 @
3904 1552 896 @
3904 1120 896 @
-2704 1216 688 "North Truck Bay"
-2352 1152 688 @
-2960 944 688 @
-2352 800 688 @
-3232 784 688 @
-2912 720 688 @
-2224 496 960 "Office"
-2232 288 960 @
-2960 -1424 1112 "Old Storage Room"
-3080 -1272 1112 @
760 -768 928 "Over Pass"
776 -1112 928 @
-2912 128 2168 "Radio Equipment"
-2808 336 2168 @
-2720 128 2168 @
-2736 384 1592 "Runway (Inside)"
-2832 -72 1592 @
-3232 -664 1672 @
-2848 -448 1592 @
-2472 -456 1616 @
-2832 384 1592 @
-2824 -824 1592 @
-1352 -168 1688 "Runway (Outside)"
-2152 -160 1648 @
-2152 -464 1648 @
-2152 -744 1648 @
-1720 -168 1680 @
-1344 -744 1688 @
-1712 -744 1680 @
-1344 -448 1688 @
-1712 -448 1680 @
-1088 336 640 "Sacred Alter"
-1104 48 640 @
-1232 192 608 @
-208 192 944 "Sacred Archway"
32 192 1040 @
288 192 1184 @
-3016 -1312 896 "Showers"
-3368 -864 896 @
-2640 -1096 896 @
-2936 -928 896 @
-2576 -912 896 @
-3136 -1136 896 @
-1480 1664 176 "Shrine"
-2168 1664 176 @
-1480 768 176 @
-2168 768 176 @
-2448 -688 960 "Sleeping Quarters"
-2440 -152 960 @
-2456 32 960 @
-2808 -32 960 @
-2584 104 960 "Sleeping Quarters (Axis Spawn)"
-2696 440 960 @
-3040 432 960 @
-2448 168 960 @
184 -1000 568 "South Bridge"
-1032 -1112 536 @
-1024 -704 536 @
-640 -800 536 @
-312 -952 536 @
16 -808 568 @
-1856 -2672 600 "South Clearence"
-1528 -2952 600 @
-1384 -2696 600 @
2240 -944 696 "South Complex Entrance"
-2672 -2208 688 "South Entrance (Inside)"
-2424 -2208 688 @
-2560 -2472 688 @
-2696 -2640 688 "South Entrance (Outside)"
-2496 -2928 600 @
-2256 -2736 600 @
-3000 -2712 600 @
-2408 -2632 688 @
-2240 -2384 688 @
-2552 -2560 848 "South Entrance (Roof)"
-2384 -2312 848 @
-2728 -2312 848 @
2000 -1024 768 "South Lobby"
2016 -1232 768 @
2128 -1040 768 @
2520 -984 720 "South Mini-Complex"
2776 -664 720 @
2888 -1216 720 "South Mini-Complex Entrance"
2712 -1088 720 "South Mini-Complex Lobby"
2536 -1280 720 @
2536 -1280 880 "South Mini-Complex Roof"
2744 -888 880 @
1296 -1608 952 @
2688 -1464 880 @
2008 -1656 936 @
2416 -768 632 "South Road"
1928 -856 632 @
1512 -816 632 @
1136 -768 632 @
3200 -304 912 "South Spawn"
3456 -320 912 @
3904 -128 912 @
3904 -528 912 @
3192 -320 720 @
-2904 -1832 688 "South Truck Bay"
-2888 -2120 688 @
-2560 -2104 688 @
-2416 -1840 688 @
744 -840 656 "South Underpass"
240 192 896 "Temple Back Roof"
