/////////////////////////////////////////////////////////
// Map name       Battle of Wolken 5                   //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    25-06-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
933 514 648 "^1Airship's Engine"
2576 1270 680 "^1Command Post"
4445 1359 600 "^1Main Entrance"
4561 1368 608 @
4288 1072 824 "^1Top Entrance"
332 237 608 "^3Airship"
332 769 608 @
513 513 624 @
2200 802 680 "^3Complex Garage"
1834 872 600 @
1940 499 600 @
2727 806 680 "^3Complex Low"
4000 1360 600 @
3154 1443 680 @
2980 1236 680 @
2189 -63 872 "^3Complex Spawn"
2639 422 872 @
2050 -63 872 "^3Complex Terrace"
2043 781 872 @
1939 493 872 @
2638 555 872 "^3Complex Top"
4280 812 824 @
3688 -141 824 @
3122 275 824 @
2180 784 872 @
5201 1809 584 "^3Forward House"
5201 891 584 @
5341 1361 824 "^3Forward Spawn"
1637 32 589 "^3Fuel Tanks"
2729 1427 680 "^3Health and Ammo"
4755 1361 608 "^3Main Bridge"
1724 871 600 "^3Outside Airship"
1371 40 604 @
335 131 608 @
334 889 608 @
1632 495 602 @
914 1056 600 @
951 -19 600 @
1259 515 600 @
1618 -423 600 @
4755 1361 824 "^3Top Bridge"
4561 1368 824 @
4445 1359 824 "^3Top Entrance Room"
6111 451 605 "^3Village Alleys"
6916 691 604 @
7041 -324 600 @
5994 -413 600 @
5677 868 600 @
5676 1848 608 @
6042 1025 598 @
6582 1920 594 @
6025 1697 600 @
6567 284 832 "^3Village Bridge"
7768 -760 608 "^3Village Entrance"
6205 480 832 "^3Village Hallways"
6965 287 832 @
7151 -134 832 @
7413 -303 832 @
6111 451 754 "^3Village Stairs"
6567 284 608 "^3Village Street"
6652 672 608 @
6958 -785 608 @
6861 -320 603 @
5341 1361 608 @
6031 1383 608 @
6567 1295 608 @
2732 667 600 "^7H4x0r!!!"
