/////////////////////////////////////////////////////////
// Map name       Wurttemberg B4                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    29-04-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2013 1029 51 "Allied Courtyard"
2600 853 51 @
2956 195 51 @
2624 489 51 @
1928 -290 81 @
2207 1196 51 @
2737 862 51 "Allied Spawn"
2903 636 196 @
2899 540 51 @
2958 300 51 @
2727 487 51 @
932 1219 152 "Allied Spawn Alley"
2000 1167 51 @
2899 536 200 "Allied Spawn Roof"
2958 300 200 @
2727 487 200 @
-682 3829 325 "Axis Depot Tower"
-1079 3929 99 "Axis Depot Yard"
-1538 3805 99 @
-1556 4239 99 @
-1256 4311 99 @
-106 3795 99 @
-684 3805 99 @
189 4243 99 @
486 4081 99 @
190 3830 99 @
-2011 4519 298 "Axis Spawn"
-1039 4630 298 @
-1235 4975 298 @
-1258 4442 298 @
-1106 2005 99 "Bridge"
-1246 2548 99 @
-936 2512 99 @
-1081 2786 99 @
38 606 54 "CP Building"
202 1898 129 @
497 1462 162 @
403 1708 129 @
-10 1875 129 @
172 1413 129 @
-191 1570 129 @
-483 1858 129 @
74 338 82 @
-50 1574 129 "Command Post"
-255 5225 292 "Docs Room"
-1035 4747 292 @
-1117 4989 292 @
-726 4796 292 @
-540 4977 292 @
-343 4789 292 @
-536 4626 292 @
782 2567 57 "Frozen River"
-80 2552 57 @
-735 2531 57 @
-1420 2534 57 @
-1859 2507 57 @
620 3187 99 "Garage"
926 3200 99 @
-796 4837 44 "Generator Room"
-263 5203 44 @
-1106 3732 99 "Main Gate"
-1082 2959 99 "Outside Axis Depot"
-136 3036 99 @
485 3179 99 @
-131 3645 99 @
97 3404 99 @
-666 3659 99 @
-1074 3450 99 @
-1709 3655 99 @
-1528 3665 99 @
-1879 3116 99 @
455 3772 99 @
950 2025 99 "River Dam Tunnel"
1023 3200 99 @
1187 2581 99 @
-1823 1925 99 "River South Side"
-501 2037 99 @
-38 2017 99 @
199 2030 109 @
383 2024 99 @
796 2037 99 @
617 2031 99 @
1184 -865 51 "Ruins"
676 381 80 @
61 3581 97 "Side Wall"
-118 5191 44 "Storage"
176 5148 44 @
625 4084 99 @
183 5026 44 "Storage Stairwell"
261 4973 292 @
384 1899 129 "Supply Cabinets"
-545 4788 276 "Supply Documents"
-1289 -925 66 "Tank Depot House"
-1585 342 66 @
-974 -177 235 @
-968 -187 66 @
-1371 -502 66 @
-1282 -588 239 @
-576 -600 32 "Tank Depot Yard"
-1168 -920 62 @
-974 -313 235 @
-969 -303 62 @
-1157 -502 38 @
-704 -1408 38 @
-736 -18 38 @
-410 -600 32 "Tank Road"
-102 595 54 @
-1581 447 61 @
-1113 1715 72 @
471 -1867 38 @
-568 -1406 38 @
-570 -14 38 @
-94 217 38 @
385 135 38 @
1063 -213 38 @
1403 -1252 68 @
1066 -867 60 @
-727 480 38 @
16 215 38 "Town Alleys"
323 250 38 @
1252 -214 46 @
1901 -424 83 @
1552 -1226 78 @
643 530 99 @
800 1224 160 @
608 1463 160 @
705 1893 110 @
664 -2038 168 "Transmitter"
464 -1993 38 "Transmitter House"
416 -2234 158 @
189 3605 302 "Upper Storage"
193 4194 302 @
-1705 3775 90 "Warehouse"
-2011 4410 296 @
-1247 4966 44 @
-1043 4653 124 @
-943 4832 44 @
-1721 3757 296 @
-1693 4238 78 @
-1258 4442 44 @
398 4976 292 "Workshop"
-125 5227 292 @
