/////////////////////////////////////////////////////////
// Map name       X-Dam 2                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    29-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
25 220 640 "Allied Command Post"
208 2103 944 "Axis Command Post"
311 1817 920 "Balcony MG"
-1528 3592 745 "Burning Flames"
1065 157 88 "Inside The Dam"
754 164 88 @
653 153 640 @
264 194 640 @
-186 194 640 @
-562 195 640 @
-1001 189 640 @
-902 116 384 @
-337 176 272 @
-1183 263 640 @
1068 229 272 @
458 -3217 80 "Lower Dam Area"
-1145 -3371 347 @
1162 -3206 80 @
719 -2902 -12 @
1839 -2285 74 @
1704 -1442 80 @
1289 -1459 80 @
1071 -1242 88 @
1061 -871 88 @
1059 -464 88 @
1068 -127 88 @
587 -109 254 @
49 -107 254 @
-425 -99 254 @
-1182 -111 356 @
2111 -1425 80 @
1710 -1245 88 "Lower Dam Bunker"
1715 -880 88 @
1392 -591 88 @
1756 -330 88 @
1683 298 88 @
1356 499 88 @
1325 924 88 @
1341 1159 88 @
721 -3208 80 "Lower Dam MG42"
701 -3075 80 @
1065 418 294 "Middle Dam Area"
1091 1588 555 @
895 1600 558 @
327 452 142 @
315 829 226 @
316 1730 427 @
-67 1758 582 @
-56 430 289 @
925 902 402 @
-283 895 401 @
-475 1741 590 @
-246 1771 596 @
-489 1393 512 @
-451 1026 430 @
-483 433 298 @
-326 418 294 @
-677 647 504 @
-771 443 395 @
-1640 418 529 @
-1697 758 393 @
-1386 753 391 @
-852 634 510 @
1423 1411 484 @
1330 1755 590 @
593 914 341 @
68 924 343 @
718 911 492 "Middle Dam Bridge"
409 902 492 @
151 898 492 @
-77 894 492 @
34 895 492 @
585 897 492 @
-148 364 640 "Middle Dam Catwalk"
56 405 640 @
312 386 640 @
555 376 640 @
772 361 640 @
-996 1444 656 "Service Area"
-914 1765 656 @
-1369 1778 656 @
-1716 1783 656 @
-1712 1579 656 @
-1698 1366 656 @
-1483 1358 656 @
-1285 1504 656 @
-655 1478 656 @
-890 1338 656 @
-1583 959 536 @
-811 1107 536 @
-786 799 536 @
-1297 976 536 @
-1655 1486 864 @
-1383 1469 864 @
-1190 1534 864 @
-1072 1667 864 @
-1725 1783 944 @
-2024 1189 536 @
-898 1738 864 "Service Area Balcony"
-940 1523 864 @
-1156 1347 864 @
-1446 1324 864 @
-1610 1322 864 @
-698 1314 671 "Service Area Flag"
-1954 791 616 "Service Area Vent"
-1948 204 616 @
-1303 200 616 @
-1939 962 536 "Service Entrance"
-1719 964 536 "Service Entrance Door"
-1297 1388 656 "Supply Cabinets"
-1221 2350 752 @
553 4618 432 "Tunnel Ladder"
-1766 4989 752 "Upper Dam Alley"
-1114 4998 752 @
-825 4925 752 @
1082 2328 688 "Upper Dam Area"
1079 3851 691 @
-78 4416 704 @
598 2272 704 @
66 2258 704 @
-462 2284 704 @
-683 2307 704 @
-609 2965 704 @
-632 3588 704 @
-617 4940 704 @
70 4499 992 @
505 4017 994 @
255 4346 1061 @
941 4000 992 @
-48 4052 704 @
-645 3504 704 @
-657 3932 712 @
-736 3738 752 @
-701 4658 704 @
-663 4286 704 @
-371 2165 960 "Upper Dam Bunker"
-6 2125 960 @
-1 1994 960 @
-480 2172 704 @
-404 1913 960 @
-2035 4983 752 "Upper Dam Dead End"
137 4103 992 "Upper Dam MG42"
126 4405 704 "Upper Dam Tunnel"
1078 4445 704 @
1084 4054 704 @
544 4429 704 @
1073 1741 590 "Upper Dam Wall"
-902 2327 752 "Upper Dam Warehouse"
-1443 2304 752 @
-1224 2485 752 @
-1026 2290 752 @
-1555 2447 752 @
-1709 2678 752 @
-1840 2433 752 @
-2027 2386 752 @
-2028 3157 752 @
-1754 3546 752 @
-1493 3399 764 @
-1226 3422 752 @
-1189 3640 768 @
-1348 3882 752 @
-899 3802 752 @
-891 3335 752 @
-932 2986 752 @
-882 3597 752 @
-922 4131 752 @
-877 4729 768 @
-1264 4738 752 @
-1604 4718 752 @
-2002 4753 768 @
-1992 4147 752 @
-887 4397 752 @
-1692 3839 752 @
-1339 3134 752 @
-715 2839 960 "Warehouse Catwalk"
-704 2450 960 @
-361 2315 960 @
-1365 3113 960 "Warehouse Office"
-1347 2634 960 @
-1363 2326 960 @
-907 2317 960 @
-893 3088 960 @
-894 2587 960 @
-1707 2486 816 "Warehouse Stairs"
-1579 2288 920 @
-1688 2293 872 @
-869 3927 272 "X-Lab"
-880 3358 272 @
-1418 3338 304 @
-1378 3931 272 @
-678 3948 192 @
-482 3983 196 @
-722 3195 192 @
-505 3201 192 @
-1040 3189 264 @
-1125 3641 296 "X-Lab Equipment"
-1387 4112 272 "X-Lab Office"
-1012 4134 272 @
-1033 4539 272 @
-1362 4539 272 @
403 4616 304 "X-Lab Tunnel"
-305 4616 304 @
-640 4607 192 @
-483 4621 192 @
-674 4077 168 "X-Lab Vent"
-505 4237 168 @
-494 4466 168 @
-1811 3634 272 "X-Lab Warehouse"
-1807 3993 272 @
-1874 4547 272 @
-1509 4555 272 @
-1515 4146 272 @
-1531 3963 272 @
-1527 3648 272 @
