/////////////////////////////////////////////////////////
// Map name       X-Factory                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
24 1099 -18 "Allied Spawn"
2309 2825 -190 "Axis Spawn"
2588 2822 -190 @
2129 3035 -198 @
2440 3059 -190 @
2091 1021 -31 "Central Hall"
1904 1409 -197 @
2104 1034 -197 @
2122 1777 -24 @
2111 1666 -197 @
1864 1853 -197 @
1373 1863 -197 @
1117 1410 -31 @
1122 1586 -31 @
1171 1787 -31 @
1405 3043 -366 "Control Panel"
1423 3320 -366 "Control Panel Room"
1180 3054 -366 @
1428 2773 -366 @
1537 3027 -366 @
1406 3042 -214 @
1293 2726 -214 @
1696 2737 -218 @
2010 3036 -214 @
2014 3039 -366 @
1927 2761 -214 @
1863 2120 -197 "Corridor to Central Hall"
1674 2558 -82 @
1654 2131 -18 @
1324 2017 6 @
944 1877 -2 @
1889 2584 -121 @
2675 2309 -366 "Factory Pipes Corridor"
3179 2583 -366 @
2993 2223 -369 @
2415 2296 -198 @
2900 2594 -198 @
2672 2484 -198 @
2478 1690 -198 @
2424 2066 -198 @
2225 1010 -197 "Forward Spawn Area"
2285 1126 -197 @
2768 1120 -197 @
2510 1024 -197 @
3428 1405 -31 "Forward Spawn Barracks"
3319 1391 -31 "Forward Spawn Corridors"
2846 1400 -31 @
2214 1767 -31 @
2721 1765 -31 @
2219 1017 -31 @
2816 1013 -31 @
2510 1024 -31 @
2882 1214 -31 @
1839 2104 -29 "Front Desk"
2677 1562 -197 "Health and Ammo Cabinets"
2884 2712 -366 "Pipes Room"
2595 2842 -366 @
2676 2493 -366 @
2349 2855 -366 @
2159 3039 -366 @
2607 3048 -509 @
2440 3059 -366 @
2887 2718 -187 "Pipes Room Ventilation"
2607 3048 -643 "Pipes Room Water Tank"
2607 3048 -952 @
2762 1231 -197 "Supplies Room"
2473 1560 -198 @
2249 1237 -197 @
2265 1574 -197 @
2509 1274 -197 @
2666 1569 -336 @
2547 2028 -121 "Upper Pipes Corridor"
2559 2303 -30 @
2960 2308 -34 @
3333 2294 -34 @
2969 2583 -30 @
2885 2676 -30 @
2133 1398 -197 "Wall"
38 1210 -18 "Warehouse"
736 1281 -82 @
354 1741 -197 @
1026 1523 -18 @
681 1690 -18 @
1107 2449 -153 "Warehouse Equipment Room"
614 2494 -153 @
375 2261 -197 @
1381 2089 -197 @
1385 2578 -197 @
