/////////////////////////////////////////////////////////
// Map name       X-Labs                               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    18-02-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-210 -230 -415 "Allied Bunker"
-72 -52 -415 @
-387 201 -415 @
-848 97 -415 @
-783 -315 -415 @
-505 -111 -415 @
-641 199 -655 @
-557 401 -415 @
-915 498 -415 @
-763 520 -415 @
-183 505 -415 @
20 520 -415 @
376 526 -415 @
373 786 -415 @
-102 520 -247 "Allied Bunker Catwalk"
122 518 -247 @
385 727 -79 "Allied Bunker MG Nest"
207 528 -79 @
-762 412 -415 "Allied Bunker Supplies"
576 1619 -346 "Allied MG"
-317 193 -175 "Allied Spawn"
-60 183 -175 @
-60 -418 -175 @
-881 -415 -175 @
-905 170 -175 @
-478 -112 -175 @
-108 -114 -175 @
-626 -343 -175 @
-859 -124 -175 @
288 3239 -685 "Axis Spawn"
303 2974 -685 @
259 2736 -685 @
1637 1808 -319 "Command Post"
2680 1569 -187 "Control Panel"
1858 2708 -679 "Crane Controls"
2859 4247 -671 "Elevator"
2858 4243 -351 @
2243 371 -270 "Escape Bunker"
2381 320 -270 @
2124 116 -270 @
2081 390 -126 "Escape Bunker Roof"
2337 389 -110 @
2387 191 -126 @
2183 221 -126 @
2215 411 -126 @
3221 2601 -351 "Flag"
2808 2612 -351 "Flag Room"
2985 2481 -351 @
3441 2640 -351 @
3447 2453 -351 @
3214 2481 -351 @
3054 2604 -351 @
3157 2463 -223 "Flag Room Stairs"
1504 1361 -399 "Main Gate"
1609 1490 -383 @
1755 1312 -415 @
1795 1494 -323 @
1785 1844 -319 "Main Gate Bunker"
1784 1596 -319 @
1737 1721 -319 @
1617 1598 -319 "Main Gate Bunker MG"
1618 1697 -319 @
1591 1585 -143 "Main Gate Bunker Roof"
1595 1827 -143 @
1861 1825 -143 @
1872 1592 -143 @
1728 1578 -143 @
1359 932 -137 "Main Gate Hills"
1547 938 -135 @
1513 713 -78 @
1589 1056 -143 "Main Gate Wall"
1647 1304 -143 @
1698 1508 -143 @
1492 1665 -357 "Near Main Gate"
1440 1516 -376 @
1335 1254 -418 @
1208 1193 -436 @
1057 1338 -401 @
920 1499 -380 @
855 1690 -340 @
1126 992 -442 "Outside Allied Bunker"
964 1245 -420 @
801 1422 -376 @
558 1364 -390 @
385 1625 -312 @
425 1071 -452 @
567 796 -429 @
566 485 -429 @
1237 408 -434 @
1129 2750 -511 "Radar Components"
2171 124 -447 "Tunnel"
136 -237 -447 @
-77 -230 -415 "Tunnel Door"
2164 3577 -511 "X-Labs Armory Room"
2008 3252 -471 @
2007 3583 -511 @
2808 2781 -351 "X-Labs Circle Corridor"
3064 2778 -351 @
3158 3051 -351 @
2860 2920 -351 @
2579 3040 -351 @
2441 3324 -351 @
2454 3691 -351 @
2570 3610 -351 @
2849 3735 -351 @
2795 3926 -351 @
2981 4090 -351 @
3212 3699 -351 @
3166 3597 -351 @
3288 3335 -351 @
3044 3741 -351 @
2857 4127 -351 @
1106 3482 -511 "X-Labs Crane Control Room"
1407 3460 -511 @
1704 3492 -511 @
1558 3470 -511 @
1855 3358 -511 "X-Labs Crane Room"
1598 3378 -511 @
1403 3371 -511 @
1097 3360 -511 @
1129 3040 -511 @
1124 2754 -679 @
1500 3372 -701 @
1887 2932 -679 @
1706 2695 -679 @
1082 3352 -719 @
1269 3347 -719 @
1910 3373 -719 @
1745 3359 -719 @
2566 1688 -191 "X-Labs Doors"
3285 3774 -351 "X-Labs East Control Room"
2729 2216 -191 "X-Labs East Hallway"
3282 2466 -191 @
3457 2433 -191 @
3457 2647 -191 @
3267 2620 -191 @
2566 1963 -191 "X-Labs Entrance"
2562 2210 -191 @
1844 3475 -511 "X-Labs Fan Room"
1918 3570 -503 @
3166 3351 -351 "X-Labs Pipe Hall"
3108 3125 -351 @
2858 3009 -351 @
2644 3096 -351 @
2561 3316 -351 @
2617 3532 -351 @
2894 3653 -383 @
3066 3593 -351 @
3003 3612 -351 @
2545 3292 -511 @
2865 3656 -671 @
2444 3304 -511 "X-Labs Small Storage"
2440 3443 -511 @
2258 3428 -511 @
2290 3558 -511 @
2283 4063 -671 @
2850 4132 -671 @
2860 3780 -671 @
797 2241 -511 "X-Labs Storage"
444 2965 -511 @
440 2969 -685 @
431 2663 -685 @
433 3234 -685 @
756 3347 -685 @
425 3217 -511 @
471 3355 -511 @
963 3476 -511 @
748 3476 -685 "X-Labs Storage Hallway"
1498 3487 -685 @
2153 4053 -685 @
2156 3455 -685 @
1820 3476 -685 @
1194 3488 -673 @
1715 3458 -685 @
1922 3463 -685 @
1077 3462 -673 @
479 3480 -511 "X-Labs Storage MG Nest"
295 3221 -511 @
295 2978 -511 @
2740 4070 -351 "X-Labs Supplies"
2355 3753 -351 "X-Labs West Control Room"
2390 2221 -191 "X-Labs West Hallway"
1784 2181 -319 @
941 2236 -511 @
1945 1479 -379 "X-Labs Yard"
1872 1121 -445 @
1928 1300 -408 @
2252 504 -279 @
2433 406 -299 @
2489 203 -171 @
2782 1384 -189 @
2548 1315 -197 @
2342 1595 -182 @
1982 1774 -167 @
2316 1327 -268 @
2472 1471 -183 "X-Labs Yard MG"
