/////////////////////////////////////////////////////////
// Map name       X-posed                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    30-04-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1206 711 173 "Axis Spawn"
-1862 735 175 @
862 -2708 283 "CP Building"
1758 -890 224 "Church"
1204 -722 228 @
863 -2708 424 "Command Post"
2181 178 184 "East Bridge"
2181 178 74 "East Canal"
2706 211 95 @
1129 181 87 @
1791 360 101 @
1790 47 109 @
-3068 3189 283 "Escape"
-3355 859 184 "Escape Area"
-2427 787 168 @
-3056 2700 256 @
-2602 3210 306 @
-3382 3185 312 "Escape Guard Booth"
1789 740 184 "Field MG42"
-633 -3284 306 "Health and Ammo Cabinets"
602 851 184 @
-1149 -2545 288 "Market"
-1129 -1869 260 @
-2045 -1893 272 "Market Spawn"
-2640 -1903 272 @
-418 2481 268 "North Alley"
182 2554 280 @
-170 2551 284 @
370 2561 275 "North-East Town"
170 2401 271 @
-167 2391 270 @
519 1024 190 @
432 1567 199 @
1169 2377 272 @
1112 721 173 @
1946 1521 221 @
2941 2951 292 @
2208 729 148 @
1511 755 177 @
1856 1146 217 @
2734 689 184 @
1792 448 184 @
-1846 1246 199 "North-West Town"
-1189 1205 196 @
-656 1177 168 @
-254 1592 220 @
-144 1724 236 @
-633 2475 280 @
-1830 2756 268 @
665 182 117 "Paddle Wheel"
695 -3048 295 "South Alleys"
117 -2768 295 @
76 -3222 304 @
2671 -359 172 "South-East Town"
1786 -103 172 @
1150 -332 173 @
1050 -739 192 @
1235 -1402 189 @
1770 -1004 196 @
1901 -898 206 @
584 -2283 232 @
878 -3040 304 @
2720 -2902 292 @
-1158 177 300 "South-West House"
-1299 -374 184 @
-132 -2756 286 "South-West Town"
-75 -3221 304 @
-627 -3073 310 @
-308 -3286 304 @
-997 -3281 304 @
-1149 -2709 288 @
-557 -2568 254 @
-1136 -1523 202 @
-558 -1858 225 @
-1685 -2560 280 @
-1965 -1894 256 @
-2646 -1571 193 @
-2048 -1499 192 @
-2022 -2552 293 @
-2953 -1930 220 @
-2632 -2710 289 @
-1634 -1081 222 @
-152 -554 184 @
-2419 -383 143 @
-1300 -548 160 @
-3348 -340 176 @
-190 1150 184 "Tank Barrier #1"
-589 743 177 "Tank Barrier #1 Crate"
-1622 -1521 192 "Tank Barrier #2"
-1686 -1883 260 "Tank Barrier #2 Crate"
1123 1525 224 "Town Hall"
86 187 192 "Water Power Station"
-2422 178 184 "West Bridge"
-2422 178 56 "West Canal"
-1691 184 75 @
-3363 168 64 @
-3363 168 184 "West Foot Bridge"
